How about Sunday?,日曜日はどう,会話表現,
Let's meet at the station.,駅で会おう,会話表現,
Why don't we take a bus?,バスに乗らない,会話表現,
Let's go together.,いっしょに行こう,会話表現,
I agree with you.,"賛成です, あなたに賛成です",会話表現,
"I think so, too.",私もそう思う,会話表現,
It's up to you.,きみに任せるよ,会話表現,
That's a good idea.,それはいい考えだね,会話表現,
You're right.,そのとおりだね,会話表現,
Welcome back.,"おかえり, おかえりなさい",会話表現,
See you next week.,また来週,会話表現,
Have a nice weekend.,よい週末を,会話表現,
It's on the table.,テーブルの上だよ,会話表現,
She's a nurse.,彼女は看護師だよ,会話表現,
At nine o'clock.,9時だよ,会話表現,
It takes ten minutes.,10分かかるよ,会話表現,
I had a great time.,とても楽しかった,会話表現,
It was delicious.,おいしかった,会話表現,
Congratulations!,おめでとう,会話表現,
That's great!,すごいね,会話表現,
Could you say that again?,もう一度言ってくれる,会話表現,
Could you speak slowly?,ゆっくり話してくれる,会話表現,
What does this mean?,これはどういう意味,会話表現,
How do you spell it?,どう書くの,会話表現,
Let me check.,確認するね,会話表現,
Good luck on your test.,"テスト, がんばってね",会話表現,
Be careful.,気をつけて,会話表現,
Help yourself.,自由にどうぞ,会話表現,
How was your trip?,旅行はどうだった,会話表現,
May I take a message?,伝言を受けましょうか,会話表現,
Can I leave a message?,伝言をお願いできますか,会話表現,
Turn left at the corner.,角を左に曲がって,会話表現,
It's next to the bank.,銀行のとなりだよ,会話表現,
You can't miss it.,すぐ分かるよ,会話表現,
Could you tell me the way?,道を教えてくれますか,会話表現,
May I see the menu?,メニューを見せてください,会話表現,
"I'd like a salad, please.",サラダをお願いします,会話表現,
Could we have the bill?,お会計をお願いします,会話表現,
It's too spicy for me.,私には辛すぎる,会話表現,
How was your weekend?,週末はどうだった,会話表現,
I went to the zoo.,動物園に行ったよ,会話表現,
I'm doing my homework.,宿題をしているよ,会話表現,
Wash your hands first.,先に手を洗ってね,会話表現,
Don't forget your umbrella.,傘を忘れないでね,会話表現,
Turn off the light.,電気を消してね,会話表現,
Dinner is almost ready.,ごはんはもうすぐできるよ,会話表現,
I'm looking forward to it.,楽しみにしているよ,会話表現,
That's a relief.,ほっとした,会話表現,
I don't think so.,そうは思わないな,会話表現,
It depends.,場合によるね,会話表現,
I prefer tea.,私はお茶がいいな,会話表現,
Me neither.,私も,会話表現,
Thank you for your help.,手伝ってくれてありがとう,会話表現,
I'm sorry I'm late.,遅れてごめんなさい,会話表現,
That's all right.,"大丈夫だよ, 大丈夫ですよ",会話表現,
"Just a moment, please.",少々お待ちください,会話表現,
Could you help me with this?,これを手伝ってくれる,会話表現,
I'd love to.,ぜひ,会話表現,
Sounds good to me.,いいね,会話表現,
Let's see.,ええと,会話表現,
I have no idea.,まったく分からない,会話表現,
What time is it now?,今何時,会話表現,
I made a mistake.,間違えちゃった,会話表現,
Let's try again.,もう一度やってみよう,会話表現,
How do I get to the airport?,空港へはどう行く,会話表現,
Which train should I take?,どの電車に乗ればいい,会話表現,
It leaves at noon.,正午に出発するよ,会話表現,
Let's take a taxi.,タクシーに乗ろう,会話表現,
How's the weather there?,そっちの天気はどう,会話表現,
It's getting cold.,寒くなってきたね,会話表現,
Take an umbrella.,傘を持っていきな,会話表現,
What's your hobby?,趣味は何,会話表現,
I like playing tennis.,テニスをするのが好き,会話表現,
Do you play any sports?,何かスポーツをする,会話表現,
I'm not good at it.,それは苦手なんだ,会話表現,
Practice makes perfect.,練習あるのみだよ,会話表現,
You did a great job.,よくがんばったね,会話表現,
Better luck next time.,次はうまくいくよ,会話表現,
Can you do me a favor?,お願いがあるんだけど,会話表現,
Of course you can.,もちろんいいよ,会話表現,
I'm afraid I can't.,"ごめん, できないんだ",会話表現,
Maybe another day.,また別の日に,会話表現,
That's fine with me.,私はそれでいいよ,会話表現,
What do you think?,どう思う,会話表現,
"In my opinion, yes.",私の考えではそうだね,会話表現,
I can't decide.,決められないな,会話表現,
Let's split the bill.,割り勘にしよう,会話表現,
It's on me.,私がおごるよ,会話表現,
"Help me, please.",助けて,会話表現,
Everything will be fine.,きっと大丈夫,会話表現,
Let me think about it.,考えさせて,会話表現,
I'll do my best.,全力でがんばるよ,会話表現,
What happened?,何があったの,会話表現,
I feel much better.,ずいぶん良くなったよ,会話表現,
I have a headache.,"頭が痛いんだ, 頭が痛いです",会話表現,
You should see a doctor.,医者に行ったほうがいいよ,会話表現,
Take this medicine.,この薬を飲んで,会話表現,
Let's take a break.,休憩しよう,会話表現,
I'm almost done.,もうすぐ終わるよ,会話表現,
"Hurry up, please.",急いでね,会話表現,
We're going to be late.,遅れちゃうよ,会話表現,
What's the date today?,今日は何日,会話表現,
It's May 5th.,5月5日だよ,会話表現,
My birthday is in July.,誕生日は7月だよ,会話表現,
Happy birthday!,お誕生日おめでとう,会話表現,
Here's a present for you.,"これ, プレゼントだよ",会話表現,
You shouldn't have.,気をつかわせてごめんね,会話表現,
Let's celebrate!,お祝いしよう,会話表現,
Make a wish.,願いごとをして,会話表現,
That's very kind of you.,ご親切にどうも,会話表現,
Thanks for inviting me.,誘ってくれてありがとう,会話表現,
I'm glad to hear that.,それを聞いてうれしいよ,会話表現,
That's wonderful news.,すばらしい知らせだね,会話表現,
I can't believe it.,信じられない,会話表現,
What a surprise!,びっくり,会話表現,
I'll miss you.,寂しくなるよ,会話表現,
Keep in touch.,連絡を取り合おうね,会話表現,
Let's keep in touch.,これからも連絡しよう,会話表現,
Can I take a photo?,写真を撮ってもいい,会話表現,
Say cheese!,"はい, チーズ",会話表現,
Could you take our picture?,写真を撮ってくれますか,会話表現,
I'm a little hungry.,少しおなかすいた,会話表現,
Let's order pizza.,ピザを頼もう,会話表現,
What would you like?,何にする,会話表現,
I'll have the same.,同じものをください,会話表現,
Anything to drink?,お飲み物は,会話表現,
It looks delicious.,"おいしそう, おいしそうです",会話表現,
Did you make this?,"これ, 作ったの",会話表現,
Let me give you a hand.,手を貸すよ,会話表現,
Mind the gap.,隙間に注意,会話表現,
It was nice meeting you.,お会いできてよかったです,会話表現,
Same to you.,あなたもね,会話表現,
Let's stay in touch.,これからもよろしくね,会話表現,
Can I ask you something?,ちょっと聞いてもいい,会話表現,
"Sure, go ahead.","いいよ, どうぞ",会話表現,
"I'm just looking, thanks.",見ているだけです,会話表現,
Where is the fitting room?,試着室はどこですか,会話表現,
Do you take cards?,カードは使えますか,会話表現,
Can I return this?,"これ, 返品できますか",会話表現,
It doesn't fit.,サイズが合わないんだ,会話表現,
Could I have a smaller size?,小さいサイズはありますか,会話表現,
That's perfect.,ぴったりだね,会話表現,
I'll think about it.,考えてみます,会話表現,
May I use your bathroom?,トイレをお借りできますか,会話表現,
Make yourself at home.,くつろいでね,会話表現,
Would you like some tea?,お茶はいかが,会話表現,
It's getting late.,もう遅いね,会話表現,
I should get going.,そろそろ帰るね,会話表現,
Thanks for having me.,招いてくれてありがとう,会話表現,
Drive safely.,"運転, 気をつけてね",会話表現,
Text me when you arrive.,着いたら連絡してね,会話表現,
Let's do this again.,また今度やろうね,会話表現,
I owe you one.,"恩に着るよ, 借りができたよ",会話表現,
Don't mention it.,"気にしないで, いえいえ",会話表現,
It can't be helped.,しかたないよ,会話表現,
I appreciate it.,感謝しています,会話表現,
My pleasure.,よろこんで,会話表現,
Sorry to bother you.,おじゃましてすみません,会話表現,
Thank you anyway.,とにかくありがとう,会話表現,
Please wait a minute.,ちょっと待ってください,会話表現,
what about,～はどうですか,熟語,
look for,を探す,熟語,
Please speak more slowly.,もっとゆっくり話してください,会話表現,
because of,"～が理由で, 目的のために",熟語,
Could you show me the way?,道を教えてくれますか,会話表現,
Can I try it on?,試着してもいいですか,会話表現,
Please call me later.,あとで電話してください,会話表現,
Can you carry this for me?,これを運んでくれる,会話表現,
May I borrow this book?,この本を借りてもいいですか,会話表現,
Please turn off the light.,電気を消してください,会話表現,
Shall I help you?,手伝いましょうか,会話表現,
Let me help you.,手伝わせてください,会話表現,
I'll carry it for you.,それをあなたのために運ぶよ,会話表現,
in front of,の前に,熟語,
I'll get the door.,ドアを開けるよ,会話表現,
have to,～しなければならない,熟語,
Let me know.,教えてね,会話表現,
Tell me if you need anything.,何か必要なら言ってね,会話表現,
need to,～する必要がある,熟語,
I'll be right back.,すぐ戻るよ,会話表現,
How about some coffee?,コーヒーはどう,会話表現,
Shall we start now?,今始めようか,会話表現,
Let's eat out tonight.,今夜は外食しよう,会話表現,
Why don't you ask her?,彼女に聞いてみたら,会話表現,
How about this one?,これはどう,会話表現,
how often,どのぐらいの頻度,熟語,
Shall we play tennis?,テニスをしようか,会話表現,
Why don't we go swimming?,泳ぎに行かない,会話表現,
Let's meet at noon.,正午に会おう,会話表現,
How about next Sunday?,次の日曜日はどう,会話表現,
Shall we watch a movie?,映画を見ようか,会話表現,
Let's leave early.,早く出発しよう,会話表現,
Why don't you come with us?,いっしょに来たら,会話表現,
It's almost nine.,もうすぐ9時です,会話表現,
I'm free this afternoon.,今日の午後は空いています,会話表現,
I have plans tomorrow.,明日は予定があります,会話表現,
look forward to,"～を楽しみにする, 期待する",熟語,
I'm leaving on Monday.,月曜日に出発します,会話表現,
The train leaves soon.,電車はもうすぐ出ます,会話表現,
We should hurry.,急がないと,会話表現,
I'm on my way.,今向かっています,会話表現,
I'll be there at two.,2時に着きます,会話表現,
It starts at ten.,10時に始まります,会話表現,
What time should we meet?,何時に会いましょうか,会話表現,
Are you busy now?,今忙しいですか,会話表現,
I'm ready to go.,出かける準備ができました,会話表現,
We have plenty of time.,時間はたっぷりあります,会話表現,
I'm running late.,少し遅れています,会話表現,
We had a test this morning.,今朝テストがありました,会話表現,
sold out,売り切れ,熟語,
I forgot my homework.,宿題を忘れました,会話表現,
I need my dictionary.,辞書が必要です,会話表現,
Please hand in your report.,レポートを提出してください,会話表現,
I left school early.,早退しました,会話表現,
lots of,たくさんの,熟語,
We don't have practice today.,今日は練習がありません,会話表現,
I have to study for the exam.,試験勉強をしないと,会話表現,
get married,結婚する,熟語,
city hall,市庁舎,名詞,
May I use the computer?,パソコンを使えますか,会話表現,
The class is over.,授業は終わりです,会話表現,
Open your textbooks.,教科書を開いてください,会話表現,
I don't know the answer.,答えがわかりません,会話表現,
Could you help me with math?,数学を手伝ってくれますか,会話表現,
I got a good score.,いい点を取りました,会話表現,
I'm nervous about the test.,テストが心配です,会話表現,
take part in,"に参加する, 参与する",熟語,
Do you have a larger size?,大きいサイズはありますか,会話表現,
Can I try this on?,これを試着してもいいですか,会話表現,
be proud of,を誇りに思う,熟語,
Do you take credit cards?,クレジットカードは使えますか,会話表現,
each other,"お互いに, お互い, それぞれ",熟語,
It's on sale today.,今日はセールです,会話表現,
"Can you wrap it, please?",包んでもらえますか,会話表現,
I'm out of money.,お金が足りません,会話表現,
hurry up,急ぐ,熟語,
Here is your change.,おつりです,会話表現,
more than,より多い,熟語,
Could I have some water?,お水をいただけますか,会話表現,
I'm ready to order.,注文の準備ができました,会話表現,
"No tomatoes, please.",トマトは抜いてください,会話表現,
The food is delicious.,料理がおいしいです,会話表現,
right away,"直ちに, すぐに, ただちに",熟語,
far from,～から遠い,熟語,
pick up,"拾う, 取り上げる, 車で迎える",熟語,
Is breakfast included?,朝食はついていますか,会話表現,
Save some for me.,少し残しておいて,会話表現,
This smells good.,いいにおいがします,会話表現,
I don't eat meat.,肉は食べません,会話表現,
I'm going to the station.,駅に行きます,会話表現,
Which bus should I take?,どのバスに乗ればいいですか,会話表現,
We missed the train.,電車に乗り遅れました,会話表現,
This seat is taken.,この席は空いていません,会話表現,
How long does it take?,どのくらいかかりますか,会話表現,
It's a ten-minute walk.,歩いて10分です,会話表現,
Go straight ahead.,まっすぐ進んでください,会話表現,
Is this the right way?,この道で合っていますか,会話表現,
I got off at the wrong station.,間違った駅で降りました,会話表現,
Please tell me when to get off.,降りるときに教えてください,会話表現,
My passport is missing.,パスポートが見当たりません,会話表現,
Take an umbrella with you.,傘を持って行って,会話表現,
Spring is my favorite season.,春がいちばん好きな季節です,会話表現,
It's too cold to go out.,外に出るには寒すぎます,会話表現,
Summer vacation starts soon.,もうすぐ夏休みです,会話表現,
I love autumn leaves.,紅葉が大好きです,会話表現,
The sun is coming out.,日がさしてきました,会話表現,
turn on,を点ける,熟語,
How are you feeling?,気分はどうですか,会話表現,
turn off,を消す,熟語,
I have a fever.,熱があります,会話表現,
be afraid of,を恐れる,熟語,
get off,降りる,熟語,
I caught a cold.,風邪をひきました,会話表現,
You should get some rest.,少し休んだほうがいいよ,会話表現,
run away,"逃げ去る, 逃亡する",熟語,
I feel much better now.,もうずっとよくなりました,会話表現,
My stomach hurts.,おなかが痛いです,会話表現,
I need to see a doctor.,医者に診てもらいたいです,会話表現,
stay with,～と一緒に過ごす,熟語,
Don't stay up late.,夜更かししないで,会話表現,
Drink plenty of water.,水をたくさん飲んで,会話表現,
I twisted my ankle.,足首をひねりました,会話表現,
I'm a little tired.,少し疲れています,会話表現,
be good at,～が上手である,熟語,
I like this one.,こちらが好きです,会話表現,
I don't like spicy food.,辛い食べ物は苦手です,会話表現,
It sounds great.,それはよさそうです,会話表現,
I prefer tea to coffee.,コーヒーよりお茶が好き,会話表現,
This is my favorite song.,これは一番好きな歌です,会話表現,
in fact,"実際には, 実際",熟語,
I'm interested in art.,美術に興味があります,会話表現,
I enjoy reading.,読書を楽しんでいます,会話表現,
That's too difficult for me.,それは私には難しすぎます,会話表現,
I practice every day.,毎日練習します,会話表現,
I'm on the school team.,学校のチームに入っています,会話表現,
The game starts soon.,試合はもうすぐ始まります,会話表現,
We won the match.,試合に勝ちました,会話表現,
We lost by one point.,1点差で負けました,会話表現,
I'm a little worried.,少し不安です,会話表現,
Let's cheer for them.,みんなを応援しよう,会話表現,
