impinge,衝突する,動詞,
varsity,"代表, 大学",名詞,
stained,汚れた,形容詞,
horrendous,恐ろしい,形容詞,
improbable,ありそうもない,形容詞,
pernicious,有害な,形容詞,
constrict,"狭める, 締め付ける",動詞,
circumscribe,取り巻く,動詞,
swollen,腫れた,形容詞,
blare,鳴り響かせる,動詞,
abiding,"永続的な, 永久の",形容詞,
back-to-back,背中合わせに,形容詞,
regal,"王者らしい, 堂々とした",形容詞,
tally,集計,名詞,
flamboyant,色鮮やかな,形容詞,
nostalgic,懐かしい,形容詞,
tenacious,粘り強い,形容詞,
lurid,"赤く輝いた, 毒々しい",形容詞,
sluggish,鈍い,形容詞,
profane,不敬の,形容詞,
intertwine,絡み合わせる,動詞,
devout,信心深い,形容詞,
supernova,超新星,名詞,
null,無効の,形容詞,
rueful,悔んでいる,動詞,
insolvent,支払い不能の,形容詞,
whine,"鼻を鳴らす声, すすり泣く声",名詞,
forthright,単刀直入の,形容詞,
disproportionate,不均衡な,形容詞,
edify,啓発する,動詞,
efface,拭い去る,動詞,
plump,ふっくらした,形容詞,
hemorrhage,出血,名詞,
incinerator,焼却炉,名詞,
javelin,投げやり,名詞,
outlay,支出,名詞,
deterrence,抑止,名詞,
prowess,武勇,名詞,
conduit,導管,名詞,
forte,十八番,名詞,
pomp,華やかさ,名詞,
mane,たてがみ,名詞,
approximation,近似,名詞,
kudos,称賛,名詞,
swindle,騙す,動詞,
rostrum,演壇,名詞,
ruffle,波立たせる,動詞,
exasperation,憤慨,名詞,
gusto,大きな喜び,名詞,
abstinence,禁欲,名詞,
fiasco,大失態,名詞,
merriment,陽気な騒ぎ,名詞,
cadence,韻律,名詞,
drudgery,骨折り仕事,名詞,
eddy,渦,名詞,
totter,よろめく,動詞,
atheist,無神論者,名詞,
cordon,非常線,名詞,
superimpose,重ね合わせる,動詞,
rejuvenate,若返らせる,動詞,
sequester,隔離する,動詞,
carousel,メリーゴーランド,名詞,
mortuary,遺体,形容詞,
armpit,脇の下,名詞,
pillage,略奪,名詞,
rudder,舵,名詞,
parchment,羊皮紙,名詞,
pedagogy,教育学,名詞,
