suppress,"を抑える, を抑圧する",動詞,
manipulate,"を操る, を改ざんする",動詞,
starve,"飢える, 渇望する, 空腹である",動詞,
yell,"叫ぶ, どなる, 大声で叫ぶ",動詞,
confine,"を限定する, 閉じ込められる",動詞,
swing,"を揺らす, 振る, 揺れる",動詞,
prolong,"を長引かせる, 延長する",動詞,
consent,"同意する, 同意, 賛成する",動詞,
depict,を描く,動詞,
outline,"の要点を述べる, の輪郭を描く",動詞,
shed,"を捨て去る, を放つ, を流す",動詞,
emit,"を出す, 排出する, を送る",動詞,
renew,"を更新する, を再生する",動詞,
utilize,"を利用する, 活用する",動詞,
worship,"崇拝, ～を崇拝する",動詞,
assert,"を主張する, 言い張る",動詞,
probable,じゅうぶんありえる,動詞,
strive,"努力する, 争う, 奮闘する",動詞,
dare,"あえて...する, 断行する",動詞,
boast,"を誇る, 自慢する, 鼻にかける",動詞,
startle,"をびっくりさせる, 驚愕させる",動詞,
offend,"の気分を害する, 違反する",動詞,
compute,計算する,動詞,
assemble,"を集める, を組み立てる",動詞,
worsen,"を悪化させる, 悪化する",動詞,
flip,"を裏返す, を軽くはじく",動詞,
descend,"降りる, 受け継がれる, 下りる",動詞,
compensate,"補償する, に償う",動詞,
comprise,"から成る, を構成する, 含む",動詞,
prevail,"普及している, 支配的である",動詞,
quest,"探究, 探求",名詞,
ongoing,進行中の,形容詞,
dignity,"尊厳, 威厳",名詞,
criterion,"基準, 指標",名詞,
paradox,"逆説, 矛盾",名詞,
outline,概要,名詞,
parliament,"議会, 国会議員, 国会, 下院",名詞,
mainstream,"主流, 大勢",名詞,
troop,"軍隊, 集団, 群れ, 兵士",名詞,
epidemic,"流行, 蔓延, 流行性の",形容詞,
outbreak,"発生, 勃発",名詞,
chaos,"混沌, 大混乱, 無秩序",名詞,
epidemic,伝染病,名詞,
nightmare,"悪夢, 不安感",名詞,
cluster,"集団, 房, 束, 群れ, 集まり",名詞,
pollen,"花粉, 植物の粉",名詞,
hive,"ミツバチの巣, 人の集まる所",名詞,
irrigation,灌漑,名詞,
dose,"服用量, 放射線の1回の照射量",名詞,
feast,"祝宴, 大ごちそう, 楽しみ",名詞,
cuisine,"料理, 料理法",名詞,
rumor,"うわさ, 風説",名詞,
signature,"署名, 特徴",名詞,
formula,"方法, 解決策, 公式, 式, 製法",名詞,
tuition,"【主に米】授業料, 指導, 学費",名詞,
intake,"摂取量, 受け入れ数",名詞,
spectrum,"スペクトル, 範囲, 波長分布",名詞,
kidney,腎臓,名詞,
gear,"用具, 器具, 歯車, ギア",名詞,
aisle,通路,名詞,
grief,"深い悲しみ, 悲しみ",名詞,
cereal,"穀物, 穀物加工食品",名詞,
destiny,運命,名詞,
skull,"頭骨, 頭蓋骨, 頭脳",名詞,
tomb,"墓, 墓石",名詞,
monk,"修道士, 僧",名詞,
