I didn't practice much.,あまり練習しませんでした,会話表現,
That was a great game.,すばらしい試合でした,会話表現,
Please leave a message.,伝言を残してください,会話表現,
be different from,"とは異なる, とは違っている",熟語,
Can I speak to Ken?,ケンさんをお願いします,会話表現,
just a moment,少しの間,熟語,
The line is busy.,話し中です,会話表現,
I'll text you later.,あとでメッセージするね,会話表現,
My phone is out of battery.,携帯の電池が切れました,会話表現,
Can you hear me?,聞こえますか,会話表現,
The connection is bad.,電波が悪いです,会話表現,
I'll send you the photo.,写真を送るね,会話表現,
be kind to,～に親切にする,熟語,
"Check your email, please.",メールを確認してください,会話表現,
agree with,"に賛成である, 支持する",熟語,
I got your message.,メッセージを受け取りました,会話表現,
"Sorry, wrong number.",すみません,会話表現,
I can't find my key.,かぎが見つかりません,会話表現,
I lost my wallet.,財布をなくしました,会話表現,
My bike is broken.,自転車がこわれています,会話表現,
I forgot my ticket.,切符を忘れました,会話表現,
I left it at home.,それを家に置いてきました,会話表現,
Something is wrong.,何かおかしいです,会話表現,
My shoes are wet.,靴がぬれています,会話表現,
You did your best.,よくがんばったね,会話表現,
That happens sometimes.,そういうこともあるよ,会話表現,
every year,毎年,熟語,
You'll be fine.,きっとうまくいくよ,会話表現,
Take your time.,ゆっくりでいいよ,会話表現,
Keep trying.,あきらめずに続けて,会話表現,
I'm happy for you.,あなたのことがうれしいよ,会話表現,
What a surprise.,びっくりした,会話表現,
Sounds fun.,楽しそう,会話表現,
Please set the table.,テーブルを準備してください,会話表現,
as usual,いつものように,熟語,
Don't forget to lock the door.,ドアのかぎを忘れないで,会話表現,
Can you take out the trash?,ごみを出してくれる,会話表現,
I'm doing the laundry.,洗濯をしています,会話表現,
in those days,当時は,熟語,
Please clean your room.,部屋を片づけてください,会話表現,
The room is dark.,部屋が暗いです,会話表現,
"Turn on the light, please.",電気をつけてください,会話表現,
Let's meet in front of the station.,駅前で会いましょう,会話表現,
I'll be back by six.,6時までに戻ります,会話表現,
I have an appointment.,約束があります,会話表現,
I need to make a copy.,コピーを取る必要があります,会話表現,
I was stuck in traffic.,渋滞にはまっていました,会話表現,
It's just around the corner.,すぐそこの角です,会話表現,
I'm on my lunch break.,昼休み中です,会話表現,
I want to go again.,また行きたいです,会話表現,
This is my first time.,これが初めてです,会話表現,
This is my second time.,これで2回目です,会話表現,
There's a big lake there.,そこには大きな湖があります,会話表現,
at first,"最初は, 初めに",熟語,
It's too crowded.,人が多すぎます,会話表現,
It's my piece of cake.,それは私のケーキです,会話表現,
a kind of,一種の,熟語,
at that time,"あの時は, そのとき",熟語,
not at all,全くない,熟語,
at last,"ついに, やっと",熟語,
for free,"無料で, 無償で",熟語,
less than,未満,熟語,
in season,旬で,熟語,
as a result of,の結果,熟語,
in advance,"前もって, 事前に, あらかじめ",熟語,
drop out,"中退する, 脱落する",熟語,
a second,少しの間,熟語,
more and more,"ますます多くの, 更に",熟語,
up until,まで,熟語,
thousands of,"何千もの, 数千の",熟語,
so ～ that ～,とてもなので～だ,熟語,
give a ride,を車に乗せる,熟語,
at most,"多くとも, せいぜい, 最大でも",熟語,
both of,二つとも,熟語,
eat out,外食する,熟語,
would like to ～,に～してほしい,熟語,
tell to ～,に～するように言う,熟語,
electronic device,電子機器,熟語,
fossil fuel,化石燃料,名詞,
get fired,解雇される,熟語,
fossil fuel,化石燃料,熟語,
get on,乗り込む,熟語,
just in case,もしもの場合に備えて,熟語,
such as,"のような, 似たような",熟語,
not always,いつもとは限らない,熟語,
be excited,興奮をする,熟語,
believe in,"を信じる, を信用する",熟語,
care for,"の面倒を見る, の世話をする",熟語,
agree to,"を承諾する, に同意する",熟語,
feel free to,気軽にする,熟語,
in case of,の場合には,熟語,
make all the difference,大きな違いを生む,熟語,
not only but also ～,だけでなく～もまた,熟語,
in case ～,～した場合には,熟語,
be made of,で出来ている,熟語,
rather than,ではなく,熟語,
on the other hand,"一方で, 他方で, その一方で",接続詞,
run out of,"を使い果たす, 使い尽くす",熟語,
get attention,注意を引く,熟語,
in conclusion,"結論として, 最終的に",熟語,
in addition,"追加として, さらに",接続詞,
what to,何をすべきか,熟語,
be in trouble,困っている,熟語,
in a hurry,急いで,熟語,
prefer A to B,BよりAを好む,熟語,
according to,"によると, との情報によれば",前置詞,
so far,"これまでは, これまでのところ",熟語,
one by one,"一つずつ, １つずつ",熟語,
all day long,一日中,熟語,
be ready for,の用意ができている,熟語,
human being,人間,名詞,
believe it or not,信じられないだろうけど,熟語,
get out,外へ出る,熟語,
go ahead,先に行く,熟語,
on the other hand,一方で,熟語,
according to,"によれば, によると",熟語,
do a favor,に頼み事を聞く,熟語,
so that ～,するために,熟語,
on foot,歩いて,熟語,
fall in love with,"に恋をする, と恋に落ちる",熟語,
be in danger of,の危険にさらされている,熟語,
out of order,"故障して, 故障中で",熟語,
human rights,人権,名詞,
be about to,する直前である,熟語,
day after day,毎日,熟語,
all over,の至る所に,熟語,
from A to B,AからBまで,熟語,
as a result,結果として,熟語,
check out,を調査する,熟語,
paper crane,折り鶴,名詞,
be concerned with,"に関係している, 関連している",熟語,
be sick of,にうんざりしてる,熟語,
get over,"を乗りこえる, 克服する",熟語,
encourage to ～,に～するように促す,熟語,
hope to,したいと思う,熟語,
hand out,"を配る, 配布する, 分け与える",熟語,
day in，day out,来る日も来る日も,熟語,
in detail,"詳細に, 具体的に, 詳しく",熟語,
carbon dioxide,"二酸化炭素, CO2",名詞,
hear from,"から連絡がある, 連絡をもらう",熟語,
enough to,するのに十分,熟語,
depend on,"に依存する, に頼る",熟語,
be likely to,"する可能性が高い, ありそうな",熟語,
be in need of,を必要とする,熟語,
in good shape,"良い状態で, 好調である",熟語,
fill in,に必要事項を記入する,熟語,
get lost,道に迷う,熟語,
all the time,"常に, いつも, いつでも",熟語,
ask 人 for,人に求める,熟語,
be known as,として知られている,熟語,
as a whole,"全体で, 全体の, すべてを含む",熟語,
go through,"人生を送る, ～を経験する",熟語,
for instance,"例えば, たとえ…としても",熟語,
plastic bag,"ビニールぶくろ, ビニール袋",名詞,
drop by,"に立ち寄る, ちょっと立ち寄る",熟語,
count on,"を当てにする, ～をあてにする",熟語,
be amazed at,に驚かされる,熟語,
get rid of,"を取り除く, 除去する",熟語,
as well,"同様に, その上",熟語,
be satisfied with,に満足している,熟語,
fall asleep,眠る,熟語,
so ～ that ～,とても…なので,接続詞,
