call it a day,"終了する, 仕事を切り上げる",熟語,
be awake,目を覚ましている,熟語,
have an effect on,"に影響を及ぼす, 影響する",熟語,
be adjusted to,"に調整する, 調節する",熟語,
heart rate,"心拍数, 脈拍",名詞,
be beneficial to,"に有益である, 役立つ",熟語,
what is called,"いわゆる, 通称",熟語,
check for,"を調べる, 確認する",熟語,
over time,"超過勤務, 延長時間",熟語,
What is more,"さらに, その上",接続詞,
for some time,"しばらくの間, 一時的に",熟語,
at a time,"１度に, 同時に",熟語,
learn by heart,"暗記する, 体で覚える",熟語,
in reality,"実際に, 現実に",熟語,
claim to do,することを主張する,熟語,
it is common to hear,を聞くのが一般的です,熟語,
throw away,"廃棄する, を捨てる",熟語,
turn into,"に変わる, に転ずる",熟語,
cut down on,"を切り詰める, 節約する",熟語,
remind of,"を思い出させる, 気づかせる",熟語,
concentrate on,"に集中する, 専念する",熟語,
laugh at,"を見て笑う, 楽しむ",熟語,
well off,"裕福な, 富裕な",形容詞,
straight on,"まっすぐに, 直線的に",熟語,
far off,"はるかかなたの, 遠くの",熟語,
drop off,"落ちる, 落とす, 外れる",熟語,
leave out,"除外する, 取り除く, ～を省く",熟語,
the other,"もう一方の, 反対側の",形容詞,
hundreds of,何百もの,熟語,
do well,"うまくやる, 成功する",熟語,
provide A with B,AにBを提供する,熟語,
in the long run,"長い目で見れば, 長期間に",熟語,
deal with,"に対処する, に対応する",熟語,
result in,"結果として, 結果～になる",熟語,
no longer,"もはや～でない, 既に～ない",熟語,
stare at,"をじっと見つめる, を凝視する",熟語,
in charge of,"の担当をして, 担当している",熟語,
cope with,"に対処する, に対応する",熟語,
show up,"現れる, 出現する, 登場する",熟語,
all around the world,"世界中の, 全世界の",熟語,
carry out,"を成し遂げる, 実行する",熟語,
due to,"が原因で, によって, のせいで",熟語,
look into,"を調べる, 調査, 検討する",熟語,
in practice,"実際には, 実際",熟語,
on schedule,"予定通りに, 計画通りに",熟語,
as though,"まるで, あたかも",接続詞,
be pleased with,"を喜ぶ, 喜びを感じる",熟語,
take A for granted,Aを当然のことと思う,熟語,
pass out,"気絶する, 失神する, 出ていく",熟語,
think over,"熟考する, よく考える",熟語,
put away,"片付ける, 整理する, 片づける",熟語,
at best,せいぜい,熟語,
calm down,"落ち着く, 安心する",熟語,
what is worse,さらに悪いことには,熟語,
react to,"に反応する, 受け止める",熟語,
be known for,"で知られている, 有名である",熟語,
in other words,"言い換えれば, つまり",熟語,
associated with,"と関連した, 紐づいた",熟語,
to start with,"まず第一に, 初めに",熟語,
first of all,"まず第一に, まず以て",熟語,
congratulations on,"に対するお祝い, 祝福",熟語,
specialize in,"に特化する, 専門とする",熟語,
health insurance,健康保険,名詞,
memory loss,"記憶喪失, 記憶消失",名詞,
be considered to,"と見なされる, と認識される",熟語,
amount to,"成る, 達する",熟語,
in some way,何らかの方法で,熟語,
be connected to,"に接続する, をつなぐ",熟語,
be involved in,"に関与する, に介入する",熟語,
be made from,"から作られる, を原料とする",熟語,
be threatened to,"に脅かされる, に恐れられる",熟語,
