testimonial,"証明書, 表彰状, 認定書",形容詞,
clump,"木立ち, 木々",名詞,
repository,"倉庫, 蔵",名詞,
buffer,"緩衝, 緩和",名詞,
courtship,"求愛, 愛の告白",名詞,
shackle,"手錠, 手枷",名詞,
prank,"いたずら, 悪ふざけ",名詞,
antipathy,"反感, 嫌悪",名詞,
configure,"構成, 設定, 配置",動詞,
libel,"名誉毀損, 中傷",名詞,
enactment,"立法, 法制定",名詞,
accreditation,"認定, 承認",名詞,
invader,"侵略者, 侵入者",名詞,
caliber,"口径, 直径",名詞,
connoisseur,"鑑定家, 評価家",名詞,
masculinity,"男らしさ, 男性らしさ",名詞,
glee,"歓喜, 喜び",名詞,
pseudonym,"偽名, 偽の名前, 仮名",名詞,
bane,"悩みの種, 問題点",名詞,
goad,"つき棒, 棒",名詞,
abbey,"修道院, 僧院",名詞,
wobble,"ぐらぐらする, 揺れる",動詞,
opus,"作品, 制作物",名詞,
quip,"警句, 警告の言葉",名詞,
swoon,"気絶, 失神",名詞,
hub,"中心部, 核心",名詞,
plume,"飾り羽根, 装飾用の羽",名詞,
feud,"確執, 対立",名詞,
cornerstone,"礎石, 基礎",名詞,
petal,"花弁, 花びら",名詞,
screech,"金切り声, 高い叫び声",名詞,
consolation,"慰め, 励まし",名詞,
twitch,"ぐいと引く, 強く引っ張る",動詞,
affirmation,"断言, 明言",名詞,
ramification,"分岐, 分岐点",名詞,
entrepreneurship,"起業家精神, 創業者の心",名詞,
entourage,"側近, 近侍",名詞,
heresy,"異説, 違う意見",名詞,
precursor,"前触れ, 予告",名詞,
maverick,"異端者, 外道",名詞,
misgiving,"懸念, 心配",名詞,
nausea,"吐き気, むかつき",名詞,
overture,"序曲, 前奏曲",名詞,
abdomen,"腹部, 腹の部分",名詞,
anemia,"貧血症, 赤血球不足",名詞,
contrition,"悔み, 後悔",名詞,
specter,"妖怪, 妖精",名詞,
ferocity,"凶暴性, 獰猛さ",名詞,
rigor,"厳格, 厳重",名詞,
tad,"ちびっ子, 子供",名詞,
gall,"憎しみ, 胆汁",名詞,
caveat,"警告, 警戒",名詞,
fang,"牙, 犬歯",名詞,
mason,"石工, 石匠",名詞,
sheen,"光沢, 輝き",名詞,
succumb,"屈する, 服する",動詞,
archipelago,"群島, 諸島",名詞,
trudge,"とぼとぼ歩く, のろのろ歩く",動詞,
incompetence,"無能, 無力",名詞,
porcelain,"磁器, 陶磁器",名詞,
torso,"胴体, 胴部",名詞,
repercussion,"反響, 反応, 反射",名詞,
slouch,"前かがみ, 前を向く",動詞,
milieu,"環境, 周りの状況",名詞,
communique,"公式発表, 公式通知, 公表",名詞,
homage,"敬意, 尊敬",名詞,
hump,"こぶ, 隆起",動詞,
efficacy,"効能, 効果",名詞,
ballpark,"概算, おおよその計算",名詞,
plaza,"大広場, 広場",名詞,
clout,"影響力, 影響",名詞,
hoax,"悪ふざけ, いたずら",名詞,
rapprochement,"和睦, 平和の協定",名詞,
vindicate,"疑いを晴らす, 疑念を取り除く",動詞,
anesthesia,"麻酔, 麻酔薬",名詞,
mourning,"喪中, 服喪中",名詞,
barracks,"兵舎, 兵営",名詞,
wield,"振り回す, 使う",動詞,
fragmentation,"断片化, 分断",名詞,
enigma,"不可解なこと, 理解不能なこと",名詞,
sabotage,"妨害行為, 邪魔",名詞,
excavation,"発掘, 探し出す",名詞,
gazette,"官報, 公報",名詞,
casket,"小箱, 小さな容器",名詞,
mirage,"蜃気楼, 海市",名詞,
pantry,"食料品室, 食品庫",名詞,
psycho,"精神病患者, 精神障害者",名詞,
benefactor,"恩人, 恩を受けた人",名詞,
