as good as,～も同然,熟語,
get the better of,"～に勝る, 打ち勝つ",熟語,
know better,～するほど馬鹿ではない,熟語,
to the best of my knowledge,私の知る限りでは,熟語,
to say the least,"控えめに言っても, 遠からず",熟語,
take ～ for granted,当然とみなす,熟語,
take one's word for it,～の言うことを信じる,熟語,
take it easy,"気楽にやる, ゆっくりと構える",熟語,
fall behind,"遅れる, 追い越される",熟語,
keep [stay] in touch with,～と連絡を取り合う,熟語,
look on [upon],～をみなす,熟語,
pass on [down],"～を手渡す, 伝える",熟語,
pass for [as],"～として通る, 通用する",熟語,
pass away,亡くなる,熟語,
reach (out) for,～に手を伸ばす,熟語,
set out [off],出発する,熟語,
set ～ free,～を解放する,熟語,
work on,～に取り組む,熟語,
part with,"～を手放す, と別れる",熟語,
fall back on,"～に頼る, 信じる",熟語,
rest on,"～に頼る, に基づく",熟語,
to the point,"的を射ている, 適切な, 適当な",熟語,
make a point of doing,必ず～することにしている,熟語,
keep an eye on,"～を見張る, を見ておく",熟語,
have an eye for,～を見る目がある,熟語,
turn a deaf ear to,～を聞こうとしない,熟語,
make a face,顔をしかめる,熟語,
remain to do,まだ～していない,熟語,
have [be] yet to do,まだ～していない,熟語,
second to none,誰にも負けない,熟語,
once and for all,"これを最後に, きっぱりと",熟語,
for once,"今回だけは, １回でいいから",熟語,
at stake,危険にさらされて,熟語,
in the wake of,～の後に続いて,熟語,
Beats me.,分からない,会話表現,
Serves you right.,"ざまあみろ, 当然の報いだ",会話表現,
Give me a break.,よしてくれ,会話表現,
to one's feet,"立って, 立った状態で",熟語,
clear one's throat,咳払いする,熟語,
sign up,"登録する, 署名する",熟語,
all the same,それでもやはり,熟語,
that is (to say),"すなわち, つまり",熟語,
for that matter,"さらに言えば, その事なら",熟語,
meal voucher,食事券,熟語,
home appliances,家電,熟語,
as a consequence,"結果として, の結果",熟語,
in house,"社内で, 組織内で",熟語,
round up,"寄せ集める, 切り上げる",熟語,
hold over,"を持ち越す, 延期する",熟語,
biased against,"に対する偏見, 偏った見方",熟語,
pay off,"全部払う, 完済する, 精算する",熟語,
pack up,"を荷造りする, 詰める",熟語,
put A aside,"Aを脇に置く, Aを放置する",熟語,
in hope of,"へ希望を抱いて, を期待して",熟語,
be tidied up,"きちんと片づけた, 整えた",熟語,
smooth over,"丸く収める, 穏便に済ます",熟語,
