auditorium,講堂,名詞,
experienced,経験した,動詞,
attendee,出席者,名詞,
brochure,小冊子,名詞,
culinary,料理の,形容詞,
flyer,チラシ,名詞,
satisfied,満足した,動詞,
further,さらに,動詞,
operating,作動している,動詞,
mentoring,助言している,動詞,
permitted,許可した,動詞,
miss,間違う,動詞,
exercise,"練習する, 練習, 運動",動詞,
response,"反応, 返答",名詞,
sheet,用紙,名詞,
intended,意図した,動詞,
unavailable,使えない,形容詞,
reserved,予約した,動詞,
chain,くさり,名詞,
painter,画家,名詞,
decided,決定した,動詞,
advanced,進んだ,形容詞,
followed,従った,動詞,
original,"当初の, 原文",形容詞,
spent,消費した,形容詞,
among,～の中で,副詞,
standard,"標準, 基準, 水準",名詞,
selected,選択した,動詞,
complimentary,"無料の, 賞賛の, 敬意を表する",形容詞,
voice,声,名詞,
reduced,削減した,動詞,
recommended,推薦した,動詞,
preferred,好んだ,形容詞,
returned,返った,動詞,
effort,努力,名詞,
compensation,"補償, 賠償",名詞,
quotation,"見積, 引用, 見積り",名詞,
warehouse,倉庫,名詞,
baked,焼いた,形容詞,
periodical,定期的に,副詞,
age,"年齢, 時代",名詞,
conducting,導いている,動詞,
submitting,提出している,動詞,
repaired,修復した,動詞,
regulations,規制,名詞,
caused,引き起こした,動詞,
announcement,"発表, 告知",名詞,
encouraged,励ました,動詞,
unclear,はっきりしない,形容詞,
conveniently,便利に,副詞,
developed,開発された,動詞,
single,"一つの, 一人の, 独身の",形容詞,
follow,の後を追う,動詞,
along,に沿って,副詞,
noticed,気づいた,形容詞,
accountant,会計士,名詞,
conducted,導かれた,形容詞,
convention,"会議, 慣習, 因習, しきたり",名詞,
housing,住宅,名詞,
lease,貸す,動詞,
rate,"割合, 速度, ～を評価する",動詞,
regularly,"規則的に, 定期的に",副詞,
congratulation,祝福,名詞,
replaced,置き換えた,動詞,
renowned,有名な,形容詞,
participation,参加,名詞,
appreciation,"感謝, 称賛",名詞,
skin,"皮膚, 皮膜",名詞,
comparable,"比較できる, 比べられる",動詞,
rate,"率, 割合",名詞,
implied,暗示した,動詞,
greeting,あいさつ,動詞,
either,～でない,形容詞,
exhibitor,展示者,名詞,
private,"個人的な, 私的な",形容詞,
voucher,引換券,名詞,
surprise,"を驚かせる, 驚き",動詞,
workplace,職場,名詞,
volunteer,"ボランティア, 志願兵",名詞,
designer,"設計者, デザイナー",名詞,
orientation,"適応, 順応, 方向付け",名詞,
partner,"伴侶, 相方",名詞,
advertisements,広告,名詞,
identification,身分証明書,名詞,
implemented,実行された,動詞,
reimbursement,"返済, 償還, 返金",名詞,
terms,"期間, 用語",名詞,
applicant,"応募者, 候補者",名詞,
catering,"出前, 仕出し, 配膳, 食事提供",名詞,
instructed,指示された,動詞,
garage,倉庫,名詞,
subscription,"購読, 寄付",名詞,
requirement,"要求される事柄, 必要なもの",名詞,
accepted,受け入れられた,形容詞,
affected,影響を受けた,形容詞,
considering,考慮している,動詞,
provider,"生産者, 供給者, 製造者",名詞,
reschedule,再度計画する,動詞,
boulevard,大通り,名詞,
institute,"～を制定する, 協会, 研究所",動詞,
informed,知らせた,形容詞,
departure,出発,名詞,
coupon,割引購入権,名詞,
direct,直接の,形容詞,
administrative,"行政の, 運営の, 管理の",形容詞,
considered,考慮された,動詞,
trained,訓練された,動詞,
listed,上場した,動詞,
expecting,期待している,動詞,
increasing,増加している,動詞,
simply,単に,副詞,
organized,組織された,動詞,
keynote,"要旨, 基本方針",名詞,
retired,引退した,動詞,
united,一致団結した,動詞,
reviewing,見直している,動詞,
attachment,"付属物, 添付",名詞,
kitchenware,台所用品,名詞,
processor,処理装置,名詞,
displayed,表示された,動詞,
reported,報告された,動詞,
impressed,"感動した, 印象付けられた",形容詞,
detergent,洗剤,名詞,
placid,"穏かな, 穏やかな, 温和な",形容詞,
porch,玄関,名詞,
tool,"道具, 工具",名詞,
relocation,移転,名詞,
entry,入場,名詞,
itinerary,旅程,名詞,
poorly,かわいそうに,副詞,
arranged,手配された,動詞,
luncheon,"昼食, 正午頃に食べる食事",名詞,
compared,比較された,動詞,
activate,作動させる,動詞,
expanded,拡大された,動詞,
affordable,"入手できる, お金の足りる",動詞,
relocate,移転させる,動詞,
supposed,想定した,動詞,
baggage,荷物,名詞,
convenience,便利,名詞,
directory,住所氏名録,名詞,
artwork,芸術作品,名詞,
congratulate,"お祝いする, 祝う",動詞,
institute,研究所,名詞,
productivity,生産性,名詞,
participated,参加した,動詞,
athletic,競技の,形容詞,
spokesperson,"代弁者, 代表者",名詞,
diverse,"多様な, 多種多様な",形容詞,
thoroughly,"徹底的に, 完全に",副詞,
delighted,喜んで,副詞,
exceptional,並外れた,形容詞,
CEO,代表取締役,名詞,
residential,居住の,形容詞,
reminder,"催促, 注意喚起",名詞,
long-term,長期的な,形容詞,
anticipated,期待した,動詞,
notification,通知,名詞,
thus,"このように, それ故に",副詞,
pastry,パン菓子,名詞,
highly,"とても, 高く",副詞,
botanical,植物の,形容詞,
lovely,美しい,形容詞,
supplier,"供給者, 供給元",名詞,
machinery,"機械, 機械類",名詞,
coworker,同僚,名詞,
salesperson,販売員,名詞,
receptionist,受付係,名詞,
inconvenient,不便な,形容詞,
incomplete,不完全な,形容詞,
reimburse,弁償する,動詞,
promotional,販促の,形容詞,
closure,閉鎖,名詞,
authorize,許可する,動詞,
portfolio,人物像,名詞,
inspiration,"ひらめき, 思い付き",名詞,
profitable,"利益のある, 収益性の高い",動詞,
curator,"学芸員, 学芸スタッフ",名詞,
expertise,専門知識,名詞,
showcase,陳列棚,名詞,
bottom,底,名詞,
multinational,"多国籍の, 複数の国籍からなる",形容詞,
specifically,特に,副詞,
vacate,逃げる,動詞,
inexpensive,安価な,形容詞,
arena,舞台,名詞,
qualification,資格,名詞,
promptly,早速,副詞,
clearly,明確に,副詞,
Asia,アジア,名詞,
lagoon,環礁,名詞,
submission,提出,名詞,
attentive,注意深い,形容詞,
ordinance,"条例, 法令",名詞,
kettle,やかん,名詞,
