up in the air,"漠然とした, 未決定の",熟語,
touch off,"発射させる, 誘発する",熟語,
in a passion,"情熱を持って, 熱心に",熟語,
elaborate on,"を詳しく述べる, 詳しく話す",熟語,
tens of thousands,"何万もの, 数万の",熟語,
ease up,"緩む, 和らぐ",熟語,
in the mood for,したい気分である,熟語,
confide in,"信じる, 許す",熟語,
catch a glimpse of,"をちらっと見る, 垣間見る",熟語,
be proficient in,"に精通している, 熟知している",熟語,
dos and don'ts,"規則集, 注意事項",熟語,
in anticipation of,"を予期して, 見込んで",熟語,
walk away with,と一緒に歩いて出る,熟語,
bow out,"お辞儀して退出する, 身を引く",熟語,
far cry from,"叫び声から遠い, からほど遠い",熟語,
ring out,"退出時間を記録する, 鳴り響く",熟語,
go overboard,"極端に走る, 夢中になる",熟語,
free of charge,"無料で, タダで, 無償で",熟語,
in recognition of,"の認識で, 理解して",熟語,
lean over,"寄りかかる, 屈む",熟語,
keep at,"を根気よく続ける, 継続する",熟語,
take A into consideration,Aを考慮に入れる,熟語,
submit A to B,AをBに提出する,熟語,
lay in,"蓄える, 仕入れる",熟語,
from top to bottom,上から下まで,熟語,
close out,"締め切る, 売り払う",熟語,
bail out,"脱出する, 救済する",熟語,
sticking point,"障害, 行き詰り",熟語,
be alien to,"と調和せずに, 相容れなくて",熟語,
hand down,"を伝える, を降ろす",熟語,
fix on,"を固定する, 取り付ける",熟語,
vouch for,"を保証する, 約束する",熟語,
when it comes to,のことになると,会話表現,
up to now,"今まで, 現在まで",熟語,
add up,"足し合わせる, 合計する",熟語,
bargain for,"について交渉する, 話し合う",熟語,
go in for,"に参加する, 携わる",熟語,
be obsessed with,に取り付かれる,熟語,
first and foremost,"まず第一に, 真っ先に",熟語,
be worthy to,"に値する, 価値がある",熟語,
map out,綿密に計画する,熟語,
be keen to,やる気がある,熟語,
from A to Z,"最初から最後まで, 終始",熟語,
"on trial, under trial","試用中で, 審理中で",熟語,
cash in,"現金に変える, 現金を投入する",熟語,
come around,"遠回りする, 立ち寄る",熟語,
bear out,"裏付ける, 支持する",熟語,
land A with B,AにBを引き受けさせる,熟語,
abstain from,"を控える, 慎む",熟語,
when it comes to,という話になると,熟語,
go through with,"で通り抜ける, 通過する",熟語,
be inferior to,"より劣って, 下回って",熟語,
beyond number,"数えきれないほど, 無数の",熟語,
abound in,"であふれている, に富む",熟語,
at home with,"慣れて, 精通して",熟語,
in one's presence,"目の前で, ～のいる所で",熟語,
in an instant,"瞬時に, 一瞬で",熟語,
be addicted to,"の中毒になる, 癖になる",熟語,
hide out,"隠れる, 潜伏する",熟語,
on edge,"イライラして, もどかしくて",熟語,
make a fuss,"大騒ぎする, 騒ぎ立てる",熟語,
assure A of B,BのAを保証する,熟語,
mother tongue,"母国語, 母語",熟語,
at ease,"気楽に, 気負いなく",熟語,
in the abstract,"理論上は, 理論的には",熟語,
no offense,"悪気はなく, 悪気なく",会話表現,
in the affirmative,"肯定の, 賛成の",熟語,
as is,"そのまま, 現状のままで",熟語,
can afford to do,する余裕がある,熟語,
in due time,"やがて, いつかは",熟語,
gun for,"を追い求める, 必死になる",熟語,
lean on,"に寄りかかる, にもたれる",熟語,
notify A of B,AにBを通知する,熟語,
in excess of,"より過度に, を上回って",熟語,
at no time,決して～しない,熟語,
originate in,"に端を発する, 起因する",熟語,
pretend to do,するふりをする,熟語,
take A by surprise,Aを驚かせる,熟語,
in a vacuum,"真空で, 真空中で",熟語,
rise and shine,"起き上がる, 起床する",熟語,
glare at,睨みつける,熟語,
halfway house,"中盤, 妥協点",熟語,
hesitate to,"をためらう, 躊躇する",熟語,
spring from,"から生じる, から生まれる",熟語,
on principle,"原則として, 道徳的見地から",熟語,
crank up,"刺激する, 始動する",熟語,
put emphasis on,"に重点を置く, を重んじる",熟語,
sneak up on,"忍び寄る, こっそり近づく",熟語,
be suitable for,"に適している, に適した",熟語,
admire A for B,BについてAを賞賛する,熟語,
in all probability,十中八九,熟語,
be indebted to,"に負債がある, 恩義がある",熟語,
not necessarily,必ずしも必要でなく,熟語,
wrestle with,"取っ組み合う, 取り組む",熟語,
at face value,"額面通り, 表面通りの価値で",熟語,
put A into practice,"Aを実践する, 実行する",熟語,
down to earth,"分別のある, 現実的な",熟語,
crack down,"厳しく取り締まる, 処罰する",熟語,
hip to,"に気づいている, 認識している",熟語,
water down,"水で薄める, 和らげる",熟語,
stop off,"途中下車する, 寄り道する",熟語,
by force,"力ずくで, 無理やり",熟語,
head over heels,"真っ逆さまに, 逆さまに",熟語,
no less than,"と同じほど, に劣らず",会話表現,
mingle with,"と混ざる, 交じる",熟語,
at intervals,"飛び飛びに, 時々",熟語,
have a flat tire,タイヤがパンクする,熟語,
make matters worse,問題を悪化させる,熟語,
to death,"死ぬまで, 生涯",熟語,
come out with,"を見せる, 口に出す",熟語,
become of,となる,熟語,
hang in,"頑張る, 持ちこたえる",熟語,
conform A to B,AをBに合わせる,熟語,
build A into B,AをBに組み入れる,熟語,
be akin to,"に似ている, と同種である",熟語,
concentrate A on B,AをBに集中させる,熟語,
in succession,"連続して, 引き続き",熟語,
tie into,"結び付ける, 調和させる",熟語,
consent to,"に納得する, を許す",熟語,
pick up the tab,"勘定を払う, 支払いをする",熟語,
either way,"どちらにしても, どのみち",熟語,
prohibit A from doing,Aがすることを禁止する,熟語,
not absolutely,"絶対ではない, 必ず, ではない",熟語,
in a bad temper,"不機嫌に, 機嫌の悪い",熟語,
in focus,焦点があっている,熟語,
have a tendency to,"する傾向がある, しがちである",熟語,
touch down,"着陸する, 降り立つ",熟語,
commit suicide,"自殺する, 自害する",熟語,
pertain to,"に関係する, にふさわしい",熟語,
at one's disposal,"自由に, 好きなように",熟語,
equate A with B,AとBを等しくする,熟語,
speak ill of,"の悪口を言う, を悪く言う",熟語,
in parallel,"並行して, 並んで",熟語,
get hold of,"を手に入れる, に連絡を取る",熟語,
good for nothing,"何の役にも立たない, 能なしの",熟語,
catch on with,"に追いつく, 届く",熟語,
behind the scenes,"舞台裏で, 陰で",熟語,
be identical to,"と同一である, と同じである",熟語,
conjure up,"素早く出す, 呪文で呼び出す",熟語,
the lion's share,最大の分け前,熟語,
rule of thumb,親指で計測すること,熟語,
round and round,"グルグルと, うろうろと",熟語,
hand in hand with,"手を取り合って, 手を取って",熟語,
all told,"全体で, 結局",熟語,
take heart,"勢い付く, 元気になる",熟語,
to some degree,"ある程度, 一定程度",熟語,
run errands,"使い走りをする, お使いをする",熟語,
inquire after,"の安否を尋ねる, を見舞う",熟語,
as far as A is concerned,Aに関すると,熟語,
in abundance,"大量に, 豊富に",熟語,
be innocent of,"無罪の, 罪のない",熟語,
way to go,"良い調子, 順調な状態",熟語,
barge in,"入り込む, 押しかける",熟語,
pull up to,"追いつく, 並ぶ",熟語,
keep abreast of,を常に把握している,熟語,
set a precedent,"先例を作る, 前例を作る",熟語,
on the decline,"衰退中の, 下降中の",熟語,
chew on,"かじりつく, しゃぶり付く",熟語,
bear fruit,"実を結ぶ, 効果を生み出す",熟語,
wear and tear,"磨耗, 摩滅",熟語,
to no purpose,"何の目的もなく, 無駄に",熟語,
at issue,"問題の, 未解決の, 未解決で",熟語,
loud and clear,"はっきりと, 明確に",熟語,
black out,"消灯する, 黒く塗りつぶす",熟語,
ship out,"出荷する, 積み出しする",熟語,
in vogue,"流行している, 流行っている",熟語,
stick up,上に突き出る,熟語,
be qualified to,の資格がある,熟語,
on trial,"試用中で, 審理中で",熟語,
capitalize on,"に資本を投下する, を利用する",熟語,
be vulnerable to,"に弱い, 傷つきやすい",熟語,
all in one,"全て含んで, 一致して",熟語,
in a nutshell,一言で言えば,熟語,
forget oneself,"我を忘れる, 夢中になる",熟語,
scold A for B,BのことでAを叱る,熟語,
in radius,"半径で, 内半径で",熟語,
rank and file,"兵卒, 一般人",熟語,
operate on,"を運営する, 操作する",熟語,
under fire,"攻撃を受けて, 批判を受けて",熟語,
starve to death,"飢え死にする, 餓死する",熟語,
by default,"既定では, 初期段階から",熟語,
ill at ease,"落ち着かない, 不安な",熟語,
for the purpose of,"の目的で, を目的に",熟語,
up to speed,事情を理解している,熟語,
want for,"に欠ける, 必要とする",熟語,
inquire into,"に尋ねる, を取り調べる",熟語,
none the less,それでもなお,熟語,
irrespective of,"に関わりなく, に関係なく",熟語,
live through,"生き延びる, 切り抜ける",熟語,
out of the woods,"森の外へ, 困難を脱して",熟語,
buy up,"全部買う, 買収する",熟語,
snap out of,"から素早く脱出する, 抜け出す",熟語,
in a breath,"一息で, 一気に",熟語,
no less than,せいぜい,熟語,
hook up,"つなぐ, 引っかける",熟語,
top off,"仕上げをする, 終える",熟語,
out of bounds,"立入禁止で, 境界線を越えて",熟語,
free up,"解放する, 自由にする",熟語,
trot out,"持ち出す, 言い出す",熟語,
word for word,"一言一句, 文字通りに",熟語,
as A as ever,いつものようにAな,熟語,
draw out,"引き抜く, 引き伸ばす",熟語,
hardly before,～するやいなや,熟語,
pop in,"飛び込む, 飛び入る",熟語,
back down on,"撤回する, 取り消す",熟語,
call down,"下に向って叫ぶ, 叱りつける",熟語,
lay down,"を横たえる, 倒す",熟語,
bestow A on B,BにAを授ける,熟語,
the bottom line,"最低限, 最低ライン",熟語,
as a last resort,最後の手段として,熟語,
branch out,"枝を出す, 手を広げる",熟語,
be consistent with,"に首尾一貫している, 一貫して",熟語,
take delight in,"喜びを得る, 面白がる",熟語,
catch up on,"に追い付く, 距離を詰める",熟語,
spell out,"綴りを書く, 綴りを言う",熟語,
compete with,"と競争する, と競う",熟語,
direct A to B,AにBへの道を教える,熟語,
burst into laughter,"吹き出す, どっと笑い出す",熟語,
cast off,"投げ捨てる, 縄を解く",熟語,
drink up,"飲み干す, 飲み尽くす",熟語,
stumbling block,"障害, 障害物",熟語,
do an injustice to,"誤解する, 価値を見誤る",熟語,
fall victim to,"の犠牲になる, 犠牲となる",熟語,
sit back,"深く座る, 傍観する",熟語,
wind up,"巻き上げる, 終わりにする",熟語,
one and only,"たった一つだけ, 一つ限りの",熟語,
in the suburbs of,"の郊外で, の近郊で",熟語,
in the middle of nowhere,"辺ぴな所に, 何もない所に",熟語,
check up on,"調べる, 照合する",熟語,
be crowded with,"で混んでいる, 混雑している",熟語,
be obliged to do,"する義務がある, 必要な行動",熟語,
to no avail,"無駄に, 役に立たずに",熟語,
live out,生き延びる,熟語,
draw back,"引き戻す, 取り消す",熟語,
ask A out,Aを誘い出す,熟語,
nothing much,大したことはない,熟語,
ball up,"混乱する, 台無しにする",熟語,
might as well do,"するかもしれない, 起こり得る",熟語,
ten to one,"10対1で, 十中八九",熟語,
follow through,最後までやり遂げる,熟語,
quite a bit,"たくさんの, かなりの",熟語,
edge out,"徐々に押しのける, 辛勝する",熟語,
give of,"分け与える, 配布する",熟語,
level out,"平らげる, 平らにする",熟語,
be versed in,"に精通している, に詳しい",熟語,
take cover,"隠れる, 避難する",熟語,
issue A to B,AをBに支給する,熟語,
at a standstill,"停止中の, 行き詰って",熟語,
watch one's step,"足元を見る, 注意する",熟語,
from hand to mouth,その日暮らしで,熟語,
in token of,"の証拠に, のしるしとして",熟語,
in all likelihood,"おそらく, ほぼ確実に",熟語,
stamp out,"踏み消す, 鎮圧する",熟語,
look beyond,"視野を広げる, 先を見据える",熟語,
to all appearances,"どうみても, 明らかに",熟語,
pull away from,"から引き離す, 分離する",熟語,
in obedience to,"従順で, 応じて",熟語,
be into,"に夢中になる, に嵌っている",熟語,
shelf life,"保存可能期間, 賞味期限",熟語,
hinge on,"決定する, 定まる",熟語,
to the full,"いっぱいに, 心ゆくまで",熟語,
as A as any,Aで誰にも劣らず,熟語,
go astray,"行方不明になる, 堕落する",熟語,
at the cost of,"の代償を払って, を犠牲にして",熟語,
be oblivious of,"忘れがちな, 気づかないで",熟語,
none the more,それでもなお,熟語,
be bent on,"熱心で, 決意を持って",熟語,
drag out,"引き出す, 長引かせる",熟語,
in large,"大規模に, 概して",熟語,
fall prey to,"の餌食になる, 犠牲になる",熟語,
back away,"後退する, バックさせる",熟語,
be bound up with,と密接な関係のある,熟語,
ups and downs,"浮き沈み, 上昇と下降",熟語,
be impatient with,"イライラして, もどかしくて",熟語,
bowl over,"を打ち倒す, 仰天させる",熟語,
down the road,"この先, 将来",熟語,
in substance,"実質上, 実際には, 事実上",熟語,
glance at,"一瞥する, ちらっと見る",熟語,
by any chance,"もしかして, 万が一",熟語,
praise A for B,AをBについて賞賛する,熟語,
think out,"考え抜く, 熟考する",熟語,
tear up,"引き裂く, 引き剝がす",熟語,
in the red,"赤字で, 赤字経営で",熟語,
take pity on,"に同情する, 哀れむ",熟語,
attend on,"に参加する, 付き添う",熟語,
break the ice,"話の口火を切る, 切り出す",熟語,
up for grabs,容易に手に入る,熟語,
improve on,"を改善する, 改良する",熟語,
strictly speaking,"厳密に言えば, 正確には",熟語,
be incapable of,"出来ない, 不可能な",熟語,
set back,"後退する, 戻す",熟語,
