take up with,"と仲良くなる, と親しくなる",熟語,
roll out,"製品投入する, 水平展開する",熟語,
wash out,"洗い流す, 洗い落とす",熟語,
be reluctant to,"気が進まない, 嫌がる",熟語,
odds and ends,"がらくた, 半端なもの",熟語,
steal the show,"話題をさらう, 人気をさらう",熟語,
stand to reason,"筋が通る, 道理にかなう",熟語,
tide over,"乗り切る, 切り抜ける",熟語,
head on,"正面から, 真向かいに",熟語,
down the drain,"排水路に流されて, 失われて",熟語,
around the corner,"間もなく, 曲がり角のあたりに",熟語,
contend with,"と戦う, 張り合う",熟語,
serve up,"仕える, 食卓に出す",熟語,
lie with,"の役目である, 次第である",熟語,
fence in,"を囲い込む, さくで囲い込む",熟語,
root out,"根絶する, 一掃する",熟語,
loosen up,"緩める, ほぐす",熟語,
have off,"取り外す, 休暇を取る",熟語,
rub off,こすり落とす,熟語,
buy over,"買収する, 味方に抱き込む",熟語,
embroil in,"に巻き込む, 関与させる",熟語,
beware of,"注意する, 気を付ける",熟語,
interfere with,"に干渉する, 介入する",熟語,
swallow up,"飲み込む, 使い尽くす",熟語,
entrust A with B,"AにBを委託する, 任せる",熟語,
hail from,"の出身である, から来る",熟語,
slip of the tongue,"失言, 口を滑らせる",熟語,
all ears,"耳を傾ける, 熱心に聴く",熟語,
draw a line,"線を引く, 一線を引く",熟語,
take steps,"順序を踏む, 対策を打つ",熟語,
live off,によって生きる,熟語,
out of the ordinary,"並外れた, 普通でない",熟語,
in the concrete,"具体的に, 具体化すると",熟語,
yank someone's chain,"人をからかう, 困らせる",熟語,
hedge bets,賭けを保険する,熟語,
walk on eggshells,非常に慎重に行動する,熟語,
jump on the bandwagon,流行に乗る,熟語,
take something with a grain of salt,疑いの目で何かを受け取る,熟語,
toy with,"いじくる, 遊ぶ",熟語,
size up,"評価する, 見極める",熟語,
thumb a ride,ヒッチハイクする,熟語,
lay down the law,"法則を定める, 厳命する",熟語,
cut to the chase,要点にすぐに入る,熟語,
have a whale of a time,楽しい時を過ごす,熟語,
on a wing and a prayer,危険で不確実な状況で,熟語,
ferret out,"探し出す, 暴く",熟語,
hone in on,特定の対象に集中する,熟語,
spill the beans,"秘密を漏らす, 口を滑らせる",熟語,
rake over the coals,厳しく注意する,熟語,
mete out,"分配する, 割り当てる",熟語,
pull someone's leg,冗談で誰かをからかう,熟語,
let the cat out of the bag,"秘密を漏らす, バラす",熟語,
grapple with,"取り組む, 闘う",熟語,
dodge a bullet,危機を回避する,熟語,
chalk up to,"帰する, 起因すると考える",熟語,
allay fears,恐怖を和らげる,熟語,
fit as a fiddle,非常に健康で元気,熟語,
on the fence,"決断を保留する, 中立である",熟語,
at the drop of a hat,"すぐに, 躊躇せず",熟語,
brush aside,"無視する, 軽視する",熟語,
quash rumors,"噂を抑制する, 否定する",熟語,
keep something at bay,"何かを抑える, 遠ざける",熟語,
nip something in the bud,初めのうちに何かを抑止する,熟語,
stave off,"避ける, 防ぐ",熟語,
jockey for position,"位置を取り合う, 競争する",熟語,
twist someone's arm,"強く説得する, 押し付ける",熟語,
nip in the bud,"初期に阻止する, 未然に防ぐ",熟語,
bite the bullet,"勇気を振り絞る, 我慢する",熟語,
miss the boat,"機会を逃す, 失敗する",熟語,
throw in the towel,"降参する, あきらめる",熟語,
fend off,"防ぐ, 避ける",熟語,
smell a rat,"うさんくさいと感じる, 疑う",熟語,
squander opportunities,機会を無駄にする,熟語,
pass the buck,"責任を転嫁する, 逃げる",熟語,
up in arms,"怒って, 反対して",熟語,
x marks the spot,"目印, 正確な位置",熟語,
hit the hay,"寝る, 床につく",熟語,
keep at bay,"距離を保つ, 抑制する",熟語,
get a kick out of something,何かから楽しみや興奮を感じる,熟語,
give in to,"屈する, 譲歩する",熟語,
mull over,"よく考える, 熟考する",熟語,
sniff out,"見つけ出す, 嗅ぎつける",熟語,
in the nick of time,"ぎりぎりのところで, 間一髪で",熟語,
all along,初めからずっと,熟語,
all over again,もう一度,熟語,
as long as,する限り,熟語,
at all,全く,熟語,
at the expense of,を犠牲にして,熟語,
at the latest,遅くとも,熟語,
ballpark,概算,熟語,
based on,を基礎にして,熟語,
be bound for,に向かっている,熟語,
be capable of,が可能である,熟語,
be crazy about,に夢中である,熟語,
be similar to,に似ている,熟語,
be sufficient to,するに十分な,熟語,
be sure of,を確信している,熟語,
be tired of,に飽きる,熟語,
be used to,に慣れている,熟語,
be worried about,のことで心配している,熟語,
better off,より裕福,熟語,
break off,打ち切る,熟語,
break up,別れる,熟語,
bring forward,前に持ってくる,熟語,
by accident,偶然に,熟語,
by air,空路で,熟語,
by land,陸路で,熟語,
by no means,決して～しない,熟語,
by sea,海路で,熟語,
carry on,続ける,熟語,
come into effect,効果が出る,熟語,
come to mind,頭に浮かぶ,熟語,
draw the line,一線を画する,熟語,
either A or B,AかBのどちらか一方,熟語,
fall apart,バラバラになる,熟語,
fall short,足りていない,熟語,
for ages,長い間,熟語,
for now,今のところは,熟語,
from a distance,離れた場所から,熟語,
get back to,へ戻る,熟語,
get hands on,手に入れる,熟語,
get through,通り抜ける,熟語,
get to the point,核心をつく,熟語,
give a hand,に手を貸す,熟語,
go along with,と一緒に行く,熟語,
go for it,頑張れ,熟語,
go on,続ける,熟語,
go well with,に似合う,熟語,
have no idea,見当がつかない,熟語,
in a fashion,～の様式で,熟語,
in favor of,に賛成して,熟語,
in keeping with,を踏まえて,熟語,
in no way,決して～ない,熟語,
in private,非公式に,熟語,
in public,人前で,熟語,
in the event of,の場合には,熟語,
keep away from,に近づかない,熟語,
keep on track,管理できている,熟語,
kind of,大体,熟語,
look out for,に気をつける,熟語,
major in,を専攻する,熟語,
make a mistake,間違いをする,熟語,
make an effort,努力をする,熟語,
on a diet,ダイエット中の,熟語,
on board,搭乗して,熟語,
or so,～かそこら,熟語,
out of control,制御不能,熟語,
prior to,以前に,熟語,
put forward,提唱する,熟語,
put on,着る,熟語,
put on hold,保留する,熟語,
quite a few,かなりの数の,熟語,
run through,ざっと見る,熟語,
set out,提示する,熟語,
shut up,黙る,熟語,
sign off,やめる,熟語,
so long,さようなら,熟語,
sort of,大体,熟語,
sum of,合計の,熟語,
take advantage of,を利用する,熟語,
take effect,効力を発揮する,熟語,
take issue with,と対立する,熟語,
the other way around,逆に,熟語,
the rest of,の残り全て,熟語,
throw up,吐く,熟語,
to begin with,まず始めに,熟語,
to the contrary,それとは反対に,熟語,
used to,かつては～だった,熟語,
watch step,足元に注意する,熟語,
What about ?,についてはどうですか,熟語,
Why don't we?,～しませんか,熟語,
Why not?,やりましょう,熟語,
a great deal of,たくさんの,熟語,
a little too,少し～過ぎる,熟語,
aim at,を狙う,熟語,
all at once,一斉に,熟語,
all of a sudden,突然,熟語,
as far as,する範囲では,熟語,
as much as,できるだけ,熟語,
as of,の時点で,熟語,
aside from,の他にも,熟語,
at a distance,ある距離を置いて,熟語,
at a glance,ひと目見て,熟語,
at convenience,都合の良いときに,熟語,
at first hand,直接に,熟語,
at first sight,一目見て,熟語,
at once,すぐに,熟語,
at risk,危険な状態で,熟語,
at the worst,最も悪く言えば,熟語,
be anxious about,を心配している,熟語,
be anxious to,とてもしたがっている,熟語,
be conscious of,に気づいている,熟語,
be convenient for,にとって都合がよい,熟語,
be crucial to,にとって重要である,熟語,
be dependent on,に依存している,熟語,
be eager to,したいと強く願う,熟語,
be equivalent to,に等しい,熟語,
be essential to,にとって不可欠である,熟語,
be jealous of,をうらやんでいる,熟語,
be opposed to,には反対である,熟語,
be sensitive to,に敏感である,熟語,
be suited to,に適している,熟語,
be superior to,より優れている,熟語,
be supposed to,することになっている,熟語,
be suspicious of,を疑っている,熟語,
be unable to,できない,熟語,
be up to,にゆだねられている,熟語,
be worthy of,～に値する,熟語,
between you and me,ここだけの話,熟語,
beyond belief,信じられない,熟語,
beyond the reach of,の手が届かない所に,熟語,
blow up,爆発する,熟語,
burn down,全焼する,熟語,
by mistake,間違って,熟語,
care about,を気にかける,熟語,
change mind,気が変わる,熟語,
cheer up,元気づける,熟語,
distinguish A from B,AをBと区別する,熟語,
enable to,するのを可能にする,熟語,
exchange A for B,AをBと交換する,熟語,
feel like,したい気分である,熟語,
for nothing,無料で,熟語,
for the past,過去の間,熟語,
go mad,頭がおかしくなる,熟語,
hand over,を引き渡す,熟語,
happen to,たまたま～する,熟語,
have in common,を共通してもっている,熟語,
hold on,そのままで待つ,熟語,
How come ?,どうしてなのでしょう,熟語,
in a way,ある意味では,熟語,
in a while,しばらくしたら,熟語,
in a word,手短に言えば,熟語,
in the beginning,初めのうちは,熟語,
in the distance,遠くで,熟語,
in the end,最終的には,熟語,
in theory,理論上は,熟語,
later on,後で,熟語,
leave alone,をそっとしておく,熟語,
make up for,の埋め合わせをする,熟語,
more or less,大なり小なり,熟語,
neither A nor B,AでもBでもない,熟語,
no doubt,疑いなく,熟語,
no matter,に関係なく,熟語,
on and on,延々と,熟語,
on guard,警戒して,熟語,
on the air,放送中の,熟語,
once upon a time,昔々,熟語,
one after another,次から次へと,熟語,
one another,お互い,熟語,
pull up,車などを止める,熟語,
run across,に偶然出会う,熟語,
run into,に出くわす,熟語,
run over,車などがひく,熟語,
set free,を解放する,熟語,
so to speak,言わば,熟語,
stand for,を表す,熟語,
take into account,を考慮に入れる,熟語,
the day before yesterday,一昨日,熟語,
the other day,先日,熟語,
to say nothing of,～は言うまでもなく,熟語,
turn out to be,後で判明する,熟語,
turn over,をひっくり返す,熟語,
with ease,容易に,熟語,
with regard to,に関して,熟語,
a handful of,一握りの,熟語,
adhere to,にくっつく,熟語,
after the fact,事後に,熟語,
ahead of,の前方に,熟語,
all but,を除いて全て,熟語,
approve of,を認める,熟語,
arise from,から生じる,熟語,
as for,はというと,熟語,
as opposed to,とは対照的に,熟語,
assign A to B,AをBに割り当てる,熟語,
at short notice,急に,熟語,
attach A to B,AをBに取りつける,熟語,
attend to,に注意を払う,熟語,
be against,に反対である,熟語,
be caught in,に捕まる,熟語,
be composed of,から構成されている,熟語,
be content with,に満足している,熟語,
be contrary to,に反している,熟語,
be determined to,しようと固く決意している,熟語,
be entitled to,の資格がある,熟語,
be equipped with,を備えている,熟語,
be faced with,に直面している,熟語,
be fond of,が好きである,熟語,
be in favor of,に賛成である,熟語,
be meant to,することを意図されている,熟語,
be new to,に対して経験が浅い,熟語,
be ready to,する準備が出来ている,熟語,
be related to,と関係がある,熟語,
be sure to,必ず～する,熟語,
be thought to,だと考えられている,熟語,
be tired from,で疲れる,熟語,
be typical of,に典型的である,熟語,
behave oneself,行儀良くする,熟語,
blame A for B,BのことでAを非難する,熟語,
