lullaby,子守歌,名詞,
feather,"羽, 羽根",名詞,
note,紙幣,名詞,
awake,"目が覚める, 目を覚ましている",形容詞,
crazy,気の狂った,形容詞,
discussion,"討論, 議論",名詞,
metal,"金属, 合金",名詞,
relation,"関係, 関係性, 相互作用",名詞,
rapidly,素早く,動詞,
colony,"植民地, 集団居住地, コロニー",名詞,
succeed,"成功する, 継承する, 達成する",動詞,
certain,"確かな, ある, 確信している",形容詞,
modern,"現代的な, 現代の",形容詞,
affect,"に影響を与える, に作用する",動詞,
match,"試合, 競技",名詞,
beyond,を超えた所に,前置詞,
quietly,"静かに, 落ち着いて",副詞,
blood,"血, 血液",名詞,
signal,信号,名詞,
protest,"抗議する, を主張する, 抗議",動詞,
extinction,"絶滅, 消失",名詞,
fantastic,素晴らしい,形容詞,
pleased,喜んで,形容詞,
uniform,制服,名詞,
stranger,"他人, 他者, 見知らぬ人",名詞,
given,~を考慮すると,動詞,
neighbor,"隣人, 近隣住民",名詞,
courage,"勇気, 勇猛",名詞,
quarter,"4分の1, 四半期, 四分期",名詞,
army,"陸軍, 軍隊",名詞,
universe,"宇宙, 宙域",名詞,
solve,"を解決する, 解消する, を解く",動詞,
effective,"効果的な, 有用な",形容詞,
pursue,"を追い求める, 追跡する",動詞,
step,"足元, 階段",名詞,
well-known,"有名な, よく知られた",形容詞,
treasure,"～を大事にする, 宝",動詞,
condition,"状況, 状態, 条件, 情勢, 体調",名詞,
fire,"を首にする, 解雇する, 火",動詞,
burden,"負担, 重荷, 義務, 積み荷",名詞,
shade,"陰, 日陰, 色合い, 日よけ",名詞,
uniform,"一様な, 均一の",形容詞,
merchant,"商人, 販売者",名詞,
son,息子,名詞,
trust,"信頼, 信用",名詞,
heard,聞いた,動詞,
sidewalk,歩道,名詞,
billion,10億,名詞,
graduation,卒業,名詞,
release,"を放出する, 解き放つ",動詞,
heat,熱,名詞,
perhaps,多分,副詞,
besides,"その上, さらに, それに加えて",接続詞,
successful,成功した,形容詞,
weapon,"武器, 兵器",名詞,
necessary,必要な,形容詞,
curious,"好奇心のある, 好奇心をそそる",動詞,
extend,"を広げる, 延びる, 延長する",動詞,
midnight,真夜中,名詞,
consumer,"消費者, 利用者",名詞,
depend,"頼る, 依存する, ～次第である",動詞,
trust,"を信用する, を信頼する, 信用",動詞,
respect,"尊敬, 敬意, 尊重, 点, 事項",名詞,
film,映画,名詞,
loss,"失うこと, 喪失",名詞,
honey,蜂蜜,名詞,
