nomination,指名,名詞,
forum,公開討論会,名詞,
integration,統合,名詞,
petrol,ガソリン,名詞,
waiver,"免除, 棄権, 除外",名詞,
adjustment,調整,名詞,
unplug,抜く,動詞,
proprietor,所有者,名詞,
transit,乗り継ぎ,名詞,
importantly,重要なことに,副詞,
wearability,装着性,名詞,
handcrafted,手作りの,形容詞,
sharpen,"研ぐ, 尖らせる",動詞,
workday,平日,名詞,
intrigued,興味をそそられる,動詞,
remarked,"述べた, 言った",動詞,
industry-wide,業界全体の,形容詞,
haul,運搬する,動詞,
legally,合法的に,副詞,
fastened,固定した,動詞,
prohibited,禁止された,動詞,
allowance,手当,名詞,
day-to-day,"日々の, 毎日の",形容詞,
conservatively,保守的に,副詞,
unpublished,未発表の,形容詞,
supposedly,"たぶん, おそらく",副詞,
empower,力を与える,動詞,
preceding,"前述の, 先行している",形容詞,
deserving,"値する, 価値がある",動詞,
breathtaking,息をのむような,形容詞,
introduction,"紹介, 導入",名詞,
readability,読みやすさ,名詞,
biweekly,隔週の,形容詞,
fading,次第に消えていく,動詞,
cutting-edge,最先端の,形容詞,
exterior,外観,名詞,
adjacent,"隣接している, 近接する",動詞,
insulated,絶縁された,動詞,
adequately,適切に,副詞,
flagship,"旗艦, 主力艦",名詞,
exclusively,"排他的に, 限定して",副詞,
lively,にぎやかな,形容詞,
sympathize,"同情する, 共感する",動詞,
meticulously,細心の注意を払って,副詞,
emission,排出,名詞,
constructive,建設的な,形容詞,
proficiency,熟達,名詞,
questionable,"疑わしい, 疑念を抱く",形容詞,
dietary,"食事の, 食事関連の",形容詞,
formerly,以前は,副詞,
sleek,"なめらかな, 滑らかな",形容詞,
floor-to-ceiling,床から天井まで,副詞,
appetizer,前菜,名詞,
insulation,絶縁,名詞,
perennial,"一年中続く, 年間を通じて",動詞,
aptitude,適性,名詞,
distinctive,特有の,形容詞,
on-time,定刻の,形容詞,
cheque,小切手,名詞,
herb,薬草,名詞,
forthcoming,今後の,形容詞,
lifelong,一生の,形容詞,
pitfall,"落とし穴, 罠, 隠れた危険",名詞,
facilitator,進行役,名詞,
swiftly,素早く,動詞,
rigidly,厳しく,動詞,
simmer,煮る,動詞,
suburban,"郊外の, 郊外型の",形容詞,
prototype,試作品,名詞,
compost,混合物,名詞,
synthetic,統合的な,形容詞,
wilt,"しおれる, 萎む, 元気をなくす",動詞,
generosity,寛大さ,名詞,
alongside,"と一緒に, 並行して",副詞,
presidential,大統領の,形容詞,
roughly,大雑把に,副詞,
unemployment,失業,名詞,
undoubtedly,疑いなく,動詞,
knot,結び目,名詞,
grin,歯を見せて笑う,動詞,
readily,すぐに,副詞,
senator,上院議員,名詞,
cutlery,食器,名詞,
intersection,交差点,名詞,
trustworthy,"信頼できる, 信用できる",動詞,
inclusive,"含んだ, 含めて",形容詞,
occupied,"使われている, 占領されている",動詞,
knowledgeable,知識豊富な,形容詞,
considerate,"思いやりがある, 理解がある",動詞,
splendid,素晴らしい,形容詞,
doubtful,疑わしい,形容詞,
last-minute,間際での,形容詞,
agreeable,"快適な, 心地良い",形容詞,
persuasive,説得力のある,動詞,
noted,有名な,形容詞,
unpredictable,"予測できない, 法外な",形容詞,
timeline,予定表,名詞,
demanding,要求の厳しい,形容詞,
pilot,試験的な,形容詞,
beneficial,有益な,形容詞,
freight,"貨物, 輸送, 輸送料, 輸送する",動詞,
prestigious,"権威のある, 誉れ高い",動詞,
inactive,"怠惰な, 活動していない",形容詞,
neighboring,近隣の,形容詞,
situated,位置している,動詞,
picturesque,絵のように美しい,形容詞,
minimal,"最小の, 最小限の, 最低限の",形容詞,
inclement,"荒れ模様の, 厳しい",形容詞,
municipal,地方自治体の,形容詞,
legible,判読できる,動詞,
exhausted,疲れ切った,形容詞,
thrilled,とてもわくわくして,動詞,
allowable,"許される, 許容できる, 許容量",動詞,
revolutionary,革命的な,形容詞,
informative,有益な,形容詞,
designated,指定された,動詞,
entertaining,"おもしろい, 愉快な",形容詞,
permissible,"許容される, 容認できる",動詞,
ceremonial,"儀式上の, 形式的な, 儀式的な",形容詞,
premier,"最高の, トップの",形容詞,
embarrassing,恥ずかしい,形容詞,
dental,歯科の,形容詞,
certified,"有資格の, 公認の",形容詞,
automated,自動化された,動詞,
distinguished,"際立って優れた, 傑出した",動詞,
shorthanded,人手が不足して,動詞,
wasteful,無駄の多い,形容詞,
suited,適任である,動詞,
hourly,1時間単位の,形容詞,
unfavorable,否定的な,形容詞,
preferable,望ましい,形容詞,
negotiable,交渉可能な,形容詞,
beforehand,"あらかじめ, 事前に",形容詞,
concise,簡潔な,形容詞,
continuous,"連続の, 継続的な, 持続的な",形容詞,
inspiring,やる気が出るような,形容詞,
regrettable,残念な,形容詞,
countless,"数え切れないほどの, 無数の",形容詞,
unforeseen,想定外の,形容詞,
ambitious,"意欲的な, 野心的な",形容詞,
spite,"悪意, 恨み",名詞,
strikingly,著しく,動詞,
aboard,船に乗って,副詞,
independently,"単独で, 独立して",副詞,
prominently,"目立って, 傑出して",副詞,
concentrated,"集中的な, 濃縮された",動詞,
informally,"くだけて, 非公式に",副詞,
intentionally,意図的に,副詞,
instrumental,重要な役割を果たす,動詞,
speculation,"推測, 推量",名詞,
understaffed,人手不足の,形容詞,
lumber,"材木, 製材",名詞,
commemorate,"祝う, 記念する",動詞,
revert,戻る,動詞,
oversee,監督する,動詞,
discontinued,終了した,動詞,
pertain,"属する, 該当する, 関係する",動詞,
diversify,多様化する,動詞,
deplete,"使い果たす, 枯渇させる",動詞,
solicit,求める,動詞,
emerging,"新たに現れた, 新興の",形容詞,
scenic,"眺めがいい, 景色の",形容詞,
acclaimed,"絶賛されている, 評価された",動詞,
delegate,"委譲する, 委任する",動詞,
resistant,"耐えられる, 抵抗力のある",動詞,
disseminate,普及させる,動詞,
applaud,拍手する,動詞,
hands-on,"実地の, 実用的な",形容詞,
plummet,急落する,動詞,
introductory,"入門の, 最初の, お試しの",形容詞,
dilute,"薄める, 希釈する",動詞,
rectify,"是正する, 修正する, 正す",動詞,
lengthy,"長期にわたる, 冗長な",動詞,
misplace,"紛失する, 置き忘れる",動詞,
reminisce,"懐かしむ, 思い出話をする",動詞,
procrastinate,先延ばしにする,動詞,
subside,"弱まる, 低下する",動詞,
facilitate,"容易にする, 促進する",動詞,
terminate,終わらせる,動詞,
itemize,"箇条書きにする, 項目別にする",動詞,
outweigh,上回る,動詞,
waive,"免除する, 放棄する",動詞,
occupancy,"占有, 占有人数",名詞,
coincidence,偶然,名詞,
credentials,"資格, 経歴, 資質",名詞,
oversight,"見落とし, 手落ち, 監視",名詞,
drapery,カーテン,名詞,
turnaround,"立て直し, 好転, 処理時間",名詞,
clasp,"留め具, 金具",名詞,
pavement,舗装道路,名詞,
scrutiny,"綿密な調査, 凝視",名詞,
legible,読みやすい,形容詞,
concession,譲歩,名詞,
apprentice,"見習い, 実習生",形容詞,
liaison,"連絡係, 調整, 連絡, 連携係",名詞,
intermission,休憩時間,名詞,
amenity,"娯楽, 生活を便利にするもの",名詞,
exclusion,除外,名詞,
tenure,"任期, 期間",名詞,
observance,"行事, 順序",名詞,
lucrative,儲かっている,動詞,
prosperous,繁栄している,動詞,
revival,復活した,形容詞,
interim,合間,名詞,
subscriber,"購読者, 加入者",名詞,
occation,"場合, とき, 機会",名詞,
disassemble,"分解する, 解体する",動詞,
antitrust,独占禁止法,形容詞,
alternatively,"代わりに, あるいは",副詞,
strictly,"厳しく, 厳密に",動詞,
mutually,"相互に, お互いに",副詞,
mend,"直す, 修正する, 繕う",動詞,
scarcely,ほとんどない,形容詞,
scold,"叱る, 注意する",動詞,
theoretical,理論上の,形容詞,
rebuild,"再建する, 建て直す",動詞,
belly,"腹, 腹部",名詞,
amid,真ん中に,名詞,
spite,"悪意, いじわる",動詞,
carbohydrate,炭水化物,名詞,
theology,神学,名詞,
donor,"提供者, 寄贈者",名詞,
sticky,"べたつく, 粘着した",動詞,
sting,"刺す, 突く",動詞,
pastor,牧師,名詞,
sympathetic,"思いやりのある, 共感的な",動詞,
exploration,"探査, 探索",名詞,
unkind,不親切な,形容詞,
judicial,司法の,形容詞,
diplomatic,"外交上の, 外交官の, 外交の",形容詞,
elegant,優雅な,形容詞,
strictly,"厳密に, 厳しく",副詞,
wicked,"邪悪な, 不正の",形容詞,
prevention,"防止, 予防",名詞,
minimize,最小化する,動詞,
attendant,"付き添いの, 付帯の",形容詞,
blaze,火炎,名詞,
boredom,退屈,名詞,
breadth,"幅, 横幅",名詞,
brim,"へり, 縁",名詞,
bundle,"束, 一揃い, 一組",名詞,
cape,岬,名詞,
capitalism,資本主義,名詞,
cathedral,大聖堂,形容詞,
nominee,候補者,名詞,
alleged,容疑のある,動詞,
inmate,"収容者, 同居人, 被収容者",名詞,
parental,親の,形容詞,
flash,閃光,名詞,
tuck,押し込む,動詞,
condense,凝縮する,動詞,
gleam,きらめく,動詞,
conductor,"導体, 案内人, 指揮者",名詞,
stadium,競技場,名詞,
conquest,"征服, 占領",名詞,
rack,置き棚,名詞,
courtroom,法廷,名詞,
statute,法令,名詞,
copper,銅,名詞,
courageous,勇気のある,動詞,
cradle,ゆりかご,名詞,
instantly,"すぐに, 即座に, 直ちに",副詞,
cunning,"ずる賢い, 狡猾な, ずるい",形容詞,
opposed,反対した,動詞,
damp,"湿った, じめじめした",形容詞,
daring,"大胆な, 向こう見ずな, 果敢な",形容詞,
revelation,啓示,名詞,
declaration,宣言,名詞,
delightful,楽しい,形容詞,
reliability,信頼性,名詞,
bush,茂み,名詞,
bull,雄牛,名詞,
disgrace,"不名誉, 恥辱",名詞,
secular,"世俗の, 現世の",形容詞,
disgusting,"嫌な, 胸が悪くなる",形容詞,
cab,タクシー,名詞,
progressive,"革新的な, 進歩的な",形容詞,
conspiracy,陰謀,名詞,
execution,実行,名詞,
terrific,"すごい, 大変な",形容詞,
verdict,"評決, 判断",名詞,
self-esteem,自尊心,名詞,
eagerly,熱心に,副詞,
practitioner,"開業医, 専門家",名詞,
tragic,"悲劇的な, 悲劇的",形容詞,
jar,瓶,名詞,
underlying,根底にある,動詞,
forbidden,"禁じられた, 禁止された",形容詞,
uncertain,不確実な,形容詞,
statistical,統計的な,形容詞,
fairness,公平さ,名詞,
fascinating,魅惑的な,形容詞,
cliff,崖,名詞,
flu,インフルエンザ,名詞,
scramble,"素早く進む, 急いでする",動詞,
foam,"小さな泡, 微細な泡",名詞,
pulse,"脈動, 震動",名詞,
midst,真ん中,名詞,
alley,路地,名詞,
gleam,きらめき,名詞,
fruitful,実り多い,形容詞,
glorious,栄光の,形容詞,
forgetful,忘れっぽい,形容詞,
legislature,立法府,名詞,
grieve,深く悲しむ,動詞,
mentally,"精神的に, 心理的に",副詞,
grim,"厳格な, 恐ろしい, 険しい",形容詞,
groan,うめき声,名詞,
harmless,無害な,形容詞,
hasten,"急ぐ, 急がせる, 焦らせる",動詞,
shove,"突き出す, 押し出す",動詞,
backyard,裏庭,名詞,
placement,配置,名詞,
grandchild,孫,名詞,
ecological,生態学的な,形容詞,
honorable,尊敬できる,動詞,
