Sure.,いいよ,会話表現,
Cool!,かっこいい,会話表現,
Look!,みて,会話表現,
Help!,たすけて,会話表現,
Stop!,とまって,会話表現,
Great!,すごい,会話表現,
I won!,かった,会話表現,
Thanks.,ありがと,会話表現,
Really?,ほんとう,会話表現,
Cheers!,かんぱい,会話表現,
Listen!,きいて,会話表現,
Almost!,おしい,会話表現,
I lost.,まけちゃった,会話表現,
Goodbye.,さようなら,会話表現,
Welcome.,ようこそ,会話表現,
See you.,またね,会話表現,
Not bad.,まあまあだよ,会話表現,
"Me, too.",わたしも,会話表現,
I agree.,さんせい,会話表現,
I can't.,できないんだ,会話表現,
Wake up!,おきて,会話表現,
Speaking.,わたしです,会話表現,
I'm fine.,げんきだよ,会話表現,
I'm good.,ちょうしいいよ,会話表現,
Stand up.,たって,会話表現,
Sit down.,すわって,会話表現,
Be quiet.,しずかにして,会話表現,
Good job.,よくできました,会話表現,
It's fun.,たのしいよ,会話表現,
I'm full.,おなかいっぱい,会話表現,
Let's go.,いこう,会話表現,
I'm home.,ただいま,会話表現,
Hurry up.,いそいで,会話表現,
Cheer up.,"げんきだして, 元気だして",会話表現,
I did it!,できた,会話表現,
Wonderful!,すばらしい,会話表現,
Take care.,"きをつけてね, 気をつけてね",会話表現,
I'm tired.,つかれたよ,会話表現,
Thank you.,ありがとう,会話表現,
I'm sorry.,ごめんなさい,会話表現,
Excuse me.,すみません,会話表現,
That's OK.,だいじょうぶだよ,会話表現,
Of course.,もちろん,会話表現,
All right.,いいよ,会話表現,
Good idea.,いいね,会話表現,
It's cute.,かわいいね,会話表現,
I'm happy.,うれしいよ,会話表現,
Let's eat.,たべよう,会話表現,
What time?,なんじに,会話表現,
Turn left.,ひだりにまがって,会話表現,
Good luck.,がんばってね,会話表現,
Well done.,よくやったね,会話表現,
Watch out!,あぶない,会話表現,
Come here.,こっちにきて,会話表現,
Follow me.,ついてきて,会話表現,
Try again.,もういちどやってみて,会話表現,
Time's up.,じかんだよ,会話表現,
Calm down.,"おちついて, 落ち着いて",会話表現,
It's mine.,わたしのだよ,会話表現,
After you.,"おさきにどうぞ, お先にどうぞ",会話表現,
Bless you.,おだいじに,会話表現,
I like it.,すきだよ,会話表現,
I love it.,だいすき,会話表現,
Good night.,おやすみ,会話表現,
I'm sleepy.,ねむいよ,会話表現,
I'm hungry.,おなかがすいたよ,会話表現,
No problem.,"だいじょうぶだよ, 問題ないよ",会話表現,
Never mind.,"きにしないで, 気にしないで",会話表現,
That's all.,それでぜんぶです,会話表現,
Let's play.,あそぼう,会話表現,
It's sunny.,はれだよ,会話表現,
It's rainy.,あめだよ,会話表現,
It's snowy.,ゆきだよ,会話表現,
It's windy.,かぜがつよいね,会話表現,
Turn right.,みぎにまがって,会話表現,
Guess what!,ねえきいて,会話表現,
It's yours.,きみのだよ,会話表現,
I'm coming.,"いまいくよ, 今行くよ",会話表現,
I think so.,そうおもうよ,会話表現,
Look at me.,こっちをみて,会話表現,
Are you OK?,"だいじょうぶ, 大丈夫",会話表現,
Let me see.,ちょっとみせて,会話表現,
I'm thirsty.,のどがかわいたよ,会話表現,
Don't worry.,しんぱいしないで,会話表現,
"Yes, please.","はい, おねがいします",会話表現,
Let's begin.,はじめよう,会話表現,
Sounds good.,いいね,会話表現,
sorry,ごめんなさい,会話表現,
It's cloudy.,くもりだよ,会話表現,
I'm leaving.,いってきます,会話表現,
Go straight.,まっすぐいって,会話表現,
Let's share.,わけっこしよう,会話表現,
What's this?,これはなに,会話表現,
Let's start.,はじめよう,会話表現,
How are you?,げんき,会話表現,
This is Ken.,ケンです,会話表現,
Wait for me.,まってよ,会話表現,
Good morning.,おはよう,会話表現,
Good evening.,こんばんは,会話表現,
let's,さあ～しよう,会話表現,
Welcome home.,おかえり,会話表現,
That's right.,そのとおり,会話表現,
I understand.,"わかります, わかりました",会話表現,
What's wrong?,どうしたの,会話表現,
I don't know.,わからない,会話表現,
I'm not sure.,よくわからないな,会話表現,
I'll take it.,"それをください, これにします",会話表現,
Here you are.,"はい, どうぞ",会話表現,
Do your best.,ぜんりょくでがんばって,会話表現,
Take it easy.,むりしないでね,会話表現,
It's my turn.,"わたしのばん, 私の番だよ",会話表現,
May I try it?,ためしてもいい,会話表現,
See you later.,またあとでね,会話表現,
let's,～しよう,熟語,
"No, thank you.","いいえ, けっこうです",会話表現,
Just a minute.,ちょっとまってね,会話表現,
Don't be late.,おくれないでね,会話表現,
Don't give up.,あきらめないで,会話表現,
to go,持ち帰り,熟語,
Get well soon.,はやくよくなってね,会話表現,
Whose is this?,これだれの,会話表現,
May I come in?,はいってもいいですか,会話表現,
You can do it.,きみならできるよ,会話表現,
please,喜ばせる,会話表現,
Good afternoon.,こんにちは,会話表現,
You're welcome.,どういたしまして,会話表現,
"Listen, please.",きいてね,会話表現,
It's delicious.,おいしいよ,会話表現,
Happy birthday.,おたんじょうびおめでとう,会話表現,
I'm from Japan.,にほんしゅっしんです,会話表現,
Open your book.,ほんをひらいて,会話表現,
