I,私は,代名詞,
my,私の,形容詞,
do,"する, 間に合う, 良い",動詞,
in,中に,前置詞,
he,彼は,代名詞,
it,それは,代名詞,
we,私たちは,代名詞,
me,私を,代名詞,
when,～するとき,接続詞,
up,上へ,前置詞,
is,"ある, いる",動詞,
go,行く,動詞,
to,～へ,前置詞,
at,"～で, に",前置詞,
on,の上に,前置詞,
am,"いる, ある",動詞,
by,"のそばに, によって",前置詞,
be,である,動詞,
one,"一つの, 1つの, 1",数詞,
the,その,冠詞,
you,あなたは,代名詞,
see,"見る, 分かる",動詞,
how,どのぐらい,副詞,
all,"全部, 全員, 全て, みな",形容詞,
old,古い,形容詞,
our,私たちの,形容詞,
red,赤い,形容詞,
she,彼女は,代名詞,
two,2,数詞,
use,使う,動詞,
run,"を主催する, 走る",動詞,
eat,食べる,動詞,
May,５月,名詞,
six,6,数詞,
bag,カバン,名詞,
try,試す,動詞,
cup,カップ,名詞,
hot,暑い,形容詞,
car,自動車,名詞,
day,日,名詞,
get,得る,動詞,
map,地図,名詞,
boy,少年,名詞,
box,箱,名詞,
put,置く,動詞,
cap,帽子,名詞,
buy,買う,動詞,
dog,イヌ,名詞,
ten,10,数詞,
not,～でない,形容詞,
way,"道, 方法",名詞,
cow,ウシ,名詞,
cat,猫,名詞,
why,なぜ,副詞,
too,～もまた,副詞,
new,新しい,形容詞,
egg,卵,名詞,
sad,悲しい,形容詞,
big,大きい,形容詞,
book,予約する,動詞,
leg,脚,名詞,
and,～と,接続詞,
fun,楽しみ,名詞,
job,仕事,名詞,
sea,海,名詞,
sit,着席する,動詞,
ear,耳,名詞,
pig,ブタ,名詞,
tea,お茶,名詞,
hat,帽子,名詞,
can,～できる,助動詞,
eye,目,名詞,
zoo,動物園,名詞,
who,だれ,代名詞,
for,のために,前置詞,
was,でした,動詞,
out,外に,前置詞,
your,あなたの,形容詞,
read,読む,動詞,
name,名前,名詞,
like,好む,動詞,
long,長い,形容詞,
very,非常に,副詞,
year,年,名詞,
when,いつ,動詞,
nice,良い,形容詞,
sing,歌う,動詞,
fine,"元気な, 晴れた, すばらしい",形容詞,
want,欲しい,形容詞,
much,たくさん,名詞,
here,ここに,副詞,
July,7月,名詞,
cold,冷たい,形容詞,
this,この,形容詞,
look,見る,動詞,
many,多くの,形容詞,
