at hand,"手元に, 近い将来",熟語,
distance A from B,AをBから遠ざける,熟語,
at random,"無作為に, 手あたり次第に",熟語,
blood vessel,"血管, 動脈",熟語,
leave off,"脱いだままでいる, 着ずにいる",熟語,
up for,に参加しようとしている,熟語,
match A with B,AをBと適合させる,熟語,
back out,"取り消す, 約束を破る",熟語,
replace A by B,AをBで置き換える,熟語,
classify A as B,AをBに分類する,熟語,
as it turns out,"結局のところ, 最終的に",熟語,
to be honest,"正直に言うと, 実を言うと",熟語,
allow for,"を考慮に入れる, 余裕を持つ",熟語,
dual citizenship,"二重国籍, 二重国籍者",熟語,
chip in,"寄付する, 金を出す",熟語,
get in on,"加わる, 乗り込む",熟語,
hang on,"しがみつく, 頑張る",熟語,
best for,～にとって最良の,熟語,
lock up,"刑務所, 留置所",熟語,
toxic to,に有毒な,熟語,
let out,"外に出す, 解放する",熟語,
conflict with,"と相容れない, 合わない",熟語,
fall out of favor with,に嫌われる,熟語,
categorize A as B,AをBの範疇に分ける,熟語,
on balance,"考慮すると, 結局",熟語,
stick to,"にくっつく, 接着する",熟語,
as before,"以前の様に, 以前と同等に",熟語,
on standby,待機して,熟語,
distract A from B,Aの気をBからそらす,熟語,
walk off with,"から歩いて出る, 立ち去る",熟語,
natural disaster,"自然災害, 天災",熟語,
keep A away from B,AをBから遠ざける,熟語,
a range of,"様々な, 色々な",熟語,
kick around,"粗末に扱う, 酷使する",熟語,
annual fee,"年会費, 年会料",熟語,
slip up,"やり損なう, うっかり誤る",熟語,
get down to,"に下りる, 取り組む",熟語,
burst into,"乱入する, 急にし始める",熟語,
be located in,"に位置している, に立っている",熟語,
call on,"を訪問する, 要求する",熟語,
have access to,"を利用できる, を利用可能",熟語,
sales quota,"売上ノルマ, 販売割当",熟語,
at fault,"落ち度がある, 咎められるべき",熟語,
play at,"起用する, 遊ぶ",熟語,
sink in,"浸透する, 理解される",熟語,
to date,"これまで, 現在まで",熟語,
come to a head,山場を迎える,熟語,
come into,"に入る, 受け継ぐ",熟語,
split off A from B,AをBから切り離す,熟語,
put A to sleep,"Aを眠らせる, 安楽死させる",熟語,
in the first place,"最初に, 元々, まず第一に",熟語,
fight back,"応戦する, やり返す",熟語,
combine A with B,AとBを組み合わせる,熟語,
point out,"を指摘する, 指示する",熟語,
donate A to B,AをBに寄付する,熟語,
pull together,"力を結集する, 協力する",熟語,
place a ban on,"を禁止する, 禁じる",熟語,
sell out,"売りつくす, 売却する",熟語,
tune up,"を調整する, 整備する",熟語,
obstacle to,"への障壁, の妨害",熟語,
fit in,"うまく馴染む, 溶け込む",熟語,
lie on,"責任がある, のしかかる",熟語,
a touch of,"ほんの少しの, 一抹の",熟語,
in prospect,"予期されて, 見込みがあって",熟語,
for the rest,"残りについては, 後は",熟語,
without so much as doing,"さえしないで, すらしない",熟語,
infringe on,"侵害する, 侵犯する",熟語,
congratulate on,"祝う, 祝いの言葉を述べる",熟語,
convince A of B,BについてAを納得させる,熟語,
be badly off,"貧乏している, お金のない",熟語,
flare up,"急に燃え上がる, 勃発する",熟語,
pay regard to,"を尊重する, 尊敬する",熟語,
at the sacrifice of,"の犠牲によって, を犠牲にして",熟語,
expand on,"について詳しく話す, 詳述する",熟語,
just as well,"差支えない, ちょうど良い",熟語,
in the midst of,"の真っただ中, する中で",熟語,
consider A as B,AをBと見なす,熟語,
tell off,"小言を言う, 叱りつける",熟語,
as it happens,"それが起こるとき, その際に",熟語,
bring down,"降ろす, 仕留める",熟語,
and yet,"それなのに, 尚且つ",熟語,
bet on,"に賭ける, 賭けをする",熟語,
right off,"すぐに, 直ちに",熟語,
worlds apart,"別世界の, 非常に異なって",熟語,
carve up,"切り分ける, 分割する",熟語,
illustrate A with B,BでAを描く,熟語,
beef up,"強化する, 増強する",熟語,
reproach A for B,BのことでAを非難する,熟語,
take a beating,"負ける, 敗北する",熟語,
in one's absence,"不在中に, 留守中に",熟語,
split the bill,"割り勘をする, 割り勘",熟語,
slip A's mind,Aから忘れられる,熟語,
compare A with B,AとBを比較する,熟語,
in haste,"急いで, 慌てて",熟語,
be destitute of,"に困窮する, を持っていない",熟語,
at worst,"最悪の場合, もっとも悪い状況",熟語,
ring a bell,思い出させる,熟語,
boil down to,"煮詰める, 結局～になる",熟語,
in years,"年間で, 一年を通して",熟語,
for the benefit of,のために,熟語,
on bail,"保釈中の, 出所中の",熟語,
sleep in,"寝床に入る, ゆっくり寝る",熟語,
alive and well,"健在で, 元気で, 健全で",熟語,
step in,"介入する, 立ち入る",熟語,
in so far as,する限りにおいて,熟語,
succumb to,"に負ける, で死ぬ",熟語,
tear down,"解体する, 分解する, 取り壊す",熟語,
with open arms,"両手を広げて, 心から喜んで",熟語,
under construction,"建設中で, 工事中, 工事中で",熟語,
in dispute,論争中の,熟語,
pan out,"砂金が出る, 成功する",熟語,
get wet to the skin,ずぶ濡れになる,熟語,
on the subject of,"に関して, について",熟語,
inquire of,"を問い合わせる, 尋ねる",熟語,
take pains,"苦労する, 骨を折る",熟語,
under consideration,"検討中の, 審議中の",熟語,
speak well of,"の事を良く言う, ほめる",熟語,
out and about,"出歩いて, 外に出られる",熟語,
beyond question,"疑いもなく, 確かに",熟語,
buy out,"買い取る, 株を買い取る",熟語,
owing to,"のために, のおかげで",熟語,
pick up the pieces,"欠片を拾う, 事態を修復する",熟語,
fall in with,"と知り合いになる, 交際する",熟語,
