crop,"収穫物, 作物, 収穫高, 収穫",名詞,
prosecution,"起訴, 告訴",名詞,
toe,"つま先, 足の指",名詞,
seize,"つかむ, 把握する, を奪い取る",動詞,
imagination,"想像, 仮想",名詞,
governor,"知事, 州知事, 長官",名詞,
curiosity,"好奇心, 探究心",名詞,
military,"軍の, 軍事の",形容詞,
tail,"尾, 尾部",名詞,
except,"を除いて, 除外して",前置詞,
string,"紐, 糸, ひも",名詞,
appoint,"任命する, 指定する, 指名する",動詞,
mere,"単なる, ほんの",動詞,
military,"軍隊, 兵力",名詞,
conference,"会議, 対話, 協議",名詞,
explanation,"説明, 解説",名詞,
atmosphere,"雰囲気, 気候, 大気",名詞,
toward,"向かって, のほうへ",前置詞,
examination,"試験, 実験",名詞,
strongly,"強く, 激しく",副詞,
fear,"を恐れる, 恐がる, 恐れ",名詞,
ability,"能力, 力量",名詞,
weight,"重さ, 体重",名詞,
exclude,"除く, 排除する, を除外する",動詞,
discipline,"しつけ, 規律, 訓練, 懲戒",名詞,
potentially,"潜在的に, 可能性として",副詞,
extent,"程度, 大きさ, 範囲",名詞,
settlement,"移住, 定住",名詞,
remark,"と述べる, 意見を述べる",動詞,
enormous,"非常に大きい, 極端に大きい",形容詞,
presence,"存在, 存在感, 出席, 面前",名詞,
rapid,"急速な, 急激な",形容詞,
basis,"土台, 根拠, 基礎, 基準",名詞,
commander,"司令官, 指揮官",名詞,
radical,"急進的な, 抜本的な, 根本的な",形容詞,
individual,"個人の, 個々の, 個人",形容詞,
journal,"日誌, 日記",名詞,
avoid,"を避ける, を回避する",動詞,
depression,"憂うつ, うつ病, 不況, 低気圧",動詞,
stake,"くい, 掛け金, 利害関係, 杭",名詞,
possibly,"ひょっとすると, もしかしたら",副詞,
likely,"起こりそうな, 可能性がある",形容詞,
entertainment,"娯楽, 楽しみ",名詞,
opposite,"反対の, 向こう側の",形容詞,
district,"地域, 地区, 行政区, 区域",名詞,
pitch,"投げる, 放る, 倒れる",動詞,
historical,"歴史上の, 過去の, 歴史の",形容詞,
bullet,"弾丸, 銃弾",名詞,
revenue,"収益, 所得, 歳入, 収入",名詞,
democracy,"民主主義, 民主制度, 民主政治",名詞,
portable,携帯できる,動詞,
cause,"原因, 理由, 大義",動詞,
legislation,"立法, 法制定, 法律",名詞,
breast,"胸部, 胸",名詞,
actual,"現実の, 事実の, 実際の",形容詞,
eager,"強く望んでいる, 切望している",形容詞,
proverb,ことわざ,名詞,
psychological,"心理的な, 精神的な",形容詞,
refugee,"難民, 避難者",名詞,
origin,"起源, 由来, 源, 出生",名詞,
crack,"ひびが入る, にひびを入れる",動詞,
notion,"考え, 意見, 概念, 観念, 見解",名詞,
initially,"最初は, 初めて, 最初に",副詞,
doubt,"疑い, 疑問",名詞,
sigh,"ため息をつく, 溜め息をつく",動詞,
laboratory,"実験室, 研究所, 研究室",名詞,
delight,"喜び, 歓喜, 楽しみ",名詞,
shortly,"まもなく, 近々",副詞,
universal,"普遍的な, 万能の, 宇宙の",形容詞,
labor,"労働, 労働者",名詞,
shortly,まもなく,動詞,
entire,"全体の, 全部の, 完全な, 全体",形容詞,
arise,"起こる, 現れる, 生じる",動詞,
incorporate,"合体させる, 統合する",動詞,
mere,"単なる, ただの",形容詞,
agenda,"議題, 協議事項, 議事日程",名詞,
terror,"恐怖, 恐れ",名詞,
truly,"真に, 正確に",副詞,
favor,"親切な行為, 好意, ～を好む",名詞,
recession,"不況, 後退, 不景気, 景気後退",名詞,
aircraft,"航空機, 飛行機",名詞,
prison,刑務所,名詞,
anniversary,"～周年, 記念日",名詞,
possibility,"可能性, 実現性",名詞,
